name,from_date,to_date,days,from_price,to_price,diff,pct,spd,avg,max_price,min_price,ttl_qty
JMART,2022-12-29,2022-12-29,1,41.5,41.5,0.0,0.0,0,0,41.5,40.75,5183726
JMART,2022-12-30,2022-12-30,1,40.75,40.75,0.0,0.0,0,0,41.75,40.75,6010236
JMART,2023-01-03,2023-01-03,1,41.0,41.0,0.0,0.0,0,0,41.25,40.75,3095538
JMART,2023-01-04,2023-01-05,2,40.75,40.0,-0.75,-1.84,-3,-2,41.5,40.0,7802274
JMART,2023-01-06,2023-01-13,6,40.25,42.5,2.25,5.59,9,1,43.5,40.0,44921819
SINGER,2022-12-29,2022-12-29,1,28.75,28.75,0.0,0.0,0,0,29.25,28.25,6797485
SINGER,2022-12-30,2022-12-30,1,28.75,28.75,0.0,0.0,0,0,29.25,28.25,7336378
SINGER,2023-01-03,2023-01-06,4,28.5,27.0,-1.5,-5.26,-6,-2,28.75,26.75,23648943
SINGER,2023-01-09,2023-01-09,1,29.75,29.75,0.0,0.0,0,0,30.0,27.0,15522537
SINGER,2023-01-10,2023-01-10,1,29.25,29.25,0.0,0.0,0,0,30.0,29.0,4615984
SINGER,2023-01-11,2023-01-13,3,29.5,30.25,0.75,2.54,3,1,31.25,29.25,17684289
