name,prc_pct,tdy_price,avg_price,qty_pct,tdy_qty,avg_qty
NER,3.1,4.66,4.52,160.57,9437514,3621852
STA,2.03,15.1,14.8,43.7,11882427,8269041
TMT,0.76,6.6,6.55,55.54,51630,33195
BCH,0.5,20.2,20.1,2.98,10249098,9952758
MCS,0.38,6.65,6.625,71.88,309612,180137
PTTGC,0.0,33.75,33.75,8.92,9765663,8965650
DIF,-0.28,9.05,9.075,6.19,11982216,11283716
SENA,-0.38,2.64,2.6500000000000004,27.22,512550,402889
AIMIRT,-0.48,10.4,10.45,218.78,483601,151702
SCC,-0.5,300.0,301.5,41.75,1572576,1109377
JMART,-3.0,21.0,21.65,10.59,22434152,20285578
JMT,-7.03,38.0,40.875,9.26,34362774,31451653
