name,year,quarter,published,market
SAWAD,2022,4,"Mon, 27 Feb 2023 22:27:53 +0700",SET50
DCON,2022,4,"Mon, 27 Feb 2023 21:57:36 +0700",SET
SENA,2022,4,"Mon, 27 Feb 2023 21:46:30 +0700",sSET
SUPER,2022,4,"Mon, 27 Feb 2023 21:39:44 +0700",SET100 / SETCLMV
CK,2022,4,"Mon, 27 Feb 2023 21:33:23 +0700",SET100 / SETCLMV / SETTHSI
AIMIRT,2022,4,"Mon, 27 Feb 2023 21:26:57 +0700",SET
TOA,2022,4,"Mon, 27 Feb 2023 20:56:52 +0700",SETTHSI
AJ,2022,4,"Mon, 27 Feb 2023 20:53:57 +0700",sSET / SETCLMV
TTA,2022,4,"Mon, 27 Feb 2023 20:38:02 +0700",SET100 / SETWB
GRAMMY,2022,4,"Mon, 27 Feb 2023 20:25:30 +0700",SET
SKN,2022,4,"Mon, 27 Feb 2023 19:23:40 +0700",sSET
ILM,2022,4,"Mon, 27 Feb 2023 19:07:19 +0700",sSET
TIPH,2022,4,"Mon, 27 Feb 2023 18:59:43 +0700",SET100
GUNKUL,2022,4,"Mon, 27 Feb 2023 18:45:02 +0700",SET100 / SETCLMV / SETHD / SETTHSI
LH,2022,4,"Mon, 27 Feb 2023 18:07:44 +0700",SET50 / SETHD
HANA,2022,4,"Mon, 27 Feb 2023 17:59:31 +0700",SET100 / SETTHSI
STEC,2022,4,"Mon, 27 Feb 2023 17:24:20 +0700",SET100
ICHI,2022,4,"Mon, 27 Feb 2023 17:08:19 +0700",sSET / SETCLMV
AWC,2022,4,"Mon, 27 Feb 2023 13:37:47 +0700",SET50 / SETTHSI
CENTEL,2022,4,"Mon, 27 Feb 2023 12:36:47 +0700",SET100 / SETTHSI / SETWB
LALIN,2022,4,"Mon, 27 Feb 2023 08:50:55 +0700",sSET
FORTH,2022,4,"Mon, 27 Feb 2023 08:38:54 +0700",SET100
SPCG,2022,4,"Mon, 27 Feb 2023 06:32:40 +0700",SET
