name,date,price,change,%change,open,high,low,volume,value(m)
ACE,2023-10-12,1.52,-0.01,-0.653595,1.54,1.55,1.52,5801677,8876.67054
ADVANC,2023-10-12,224.0,2.0,0.900901,222.0,224.0,222.0,2470091,550736.86
AEONTS,2023-10-12,156,2,1.298701,154,156,153.5,328608,50907.798
AH,2023-10-12,34.25,0.5,1.481481,34.0,34.25,33.75,502114,17137.377
AIMIRT,2023-10-12,10.4,-0.1,-0.952381,10.5,10.5,10.3,483601,5032.3005
AIT,2023-10-12,4.72,-0.02,-0.421941,4.76,4.76,4.7,384722,1817.21396
AJ,2023-10-12,7.6,-0.05,-0.653595,7.55,7.75,7.4,12778,96.77165
AMATA,2023-10-12,25.75,0.0,0.0,25.5,26.25,25.25,3545243,91740.1705
ANAN,2023-10-12,0.75,0.01,1.351351,0.74,0.76,0.73,6080416,4556.62021
AOT,2023-10-12,68.5,-0.25,-0.363636,68.75,69.0,68.25,14006564,960028.53525
AP,2023-10-12,11.8,-0.1,-0.840336,11.8,11.8,11.7,1378016,16237.873300000001
ASIAN,2023-10-12,7.45,0.0,0.0,7.45,7.55,7.4,464617,3466.40265
ASK,2023-10-12,21.2,-0.1,-0.469484,21.5,21.5,21.1,410235,8749.4762
ASP,2023-10-12,2.82,0.0,0.0,2.84,2.84,2.82,165513,468.03064
ASW,2023-10-12,8.85,-0.05,-0.561798,8.9,8.95,8.85,408958,3638.3482000000004
AWC,2023-10-12,3.68,-0.02,-0.540541,3.7,3.74,3.66,28841365,106580.46493999999
BA,2023-10-12,15.0,0.0,0.0,15.0,15.1,14.7,3701468,55246.1842
BAM,2023-10-12,9.65,-0.2,-2.030457,9.85,9.85,9.65,5794270,56359.221
BANPU,2023-10-12,7.9,-0.1,-1.25,7.95,8.0,7.85,43246676,341687.09425
BBL,2023-10-12,169.5,1.5,0.892857,168.5,170.0,168.0,5573036,943686.5875
BCH,2023-10-12,20.2,-0.1,-0.492611,20.3,20.3,19.9,10249098,205242.66619999998
BCP,2023-10-12,40.25,0.5,1.257862,40.0,40.25,39.75,3380080,135454.17625
BCPG,2023-10-12,8.95,-0.2,-2.185792,9.2,9.2,8.95,3162009,28494.036949999998
BDMS,2023-10-12,27.5,0.0,0.0,27.5,27.75,27.25,49776158,1367689.371
BEAUTY,2023-10-12,0.55,0.0,0.0,0.56,0.56,0.54,3334900,1834.925
BEM,2023-10-12,8.2,0.05,0.613497,8.15,8.2,8.1,18249325,149084.12455
BGC,2023-10-12,9.2,0.0,0.0,9.25,9.25,9.15,5569,51.3015
BGRIM,2023-10-12,25.75,-0.25,-0.961538,26.25,26.5,25.75,10490152,273456.32175
BH,2023-10-12,264.0,1.0,0.380228,263.0,266.0,259.0,2073151,544988.852
BJC,2023-10-12,29.5,-0.5,-1.666667,30.0,30.25,29.25,2716167,80114.45225
BKI,2023-10-12,314.0,-1.0,-0.31746,314.0,314.0,313.0,6040,1895.519
BLA,2023-10-12,26.75,-0.25,-0.925926,27.25,27.25,26.5,1790428,48062.40825
BLAND,2023-10-12,0.75,0.0,0.0,0.75,0.75,0.74,639035,477.52727000000004
BPP,2023-10-12,14.5,0.1,0.694444,14.5,14.6,14.5,528975,7672.4035
BTS,2023-10-12,7.45,0.0,0.0,7.4,7.45,7.35,17070506,126864.76155
BTSGIF,2023-10-12,3.48,0.02,0.578035,3.46,3.48,3.44,1439800,4982.77
CBG,2023-10-12,72.5,-1.5,-2.027027,74.25,74.75,72.5,3712327,271809.39375
CENTEL,2023-10-12,44.0,0.0,0.0,44.0,45.0,44.0,2631760,116374.934
CHG,2023-10-12,3.12,0.02,0.645161,3.08,3.12,3.08,28783442,89218.61301999999
CK,2023-10-12,20.4,0.1,0.492611,20.4,20.4,20.3,903849,18405.6279
CKP,2023-10-12,3.22,-0.04,-1.226994,3.26,3.26,3.22,1104613,3569.89968
COM7,2023-10-12,30.5,-0.5,-1.612903,31.25,31.25,30.25,6324995,194630.81825
CPALL,2023-10-12,59.5,-0.25,-0.41841,60.25,60.75,59.25,15745748,941846.979
CPF,2023-10-12,19.0,-0.1,-0.52356,19.1,19.2,18.8,10793923,204413.21790000002
CPN,2023-10-12,63.5,-0.5,-0.78125,64.0,64.0,63.25,4357044,276964.12625
CPNCG,2023-10-12,6.5,-0.05,-0.763359,6.5,6.55,6.45,156811,1019.7125
CPNREIT,2023-10-12,9.95,-0.05,-0.5,10,10,9.85,967504,9621.3251
CPTGF,2023-10-12,5.1,0,0,5.1,5.1,5.05,181420,919.202
CRC,2023-10-12,39.0,0.0,0.0,39.25,39.5,38.75,17225734,674662.1079500001
DELTA,2023-10-12,84.5,-1.5,-1.744186,86.0,86.0,84.25,15058683,1276541.71675
DIF,2023-10-12,9.05,-0.05,-0.549451,9.1,9.15,9,11982216,108564.08955
DOHOME,2023-10-12,11.6,0.1,0.869565,11.6,11.8,11.4,10695188,125220.20390000001
EA,2023-10-12,48.0,-0.75,-1.538462,49.0,49.0,47.75,8469199,408741.0395
EASTW,2023-10-12,4.26,0.02,0.471698,4.24,4.3,4.24,96667,413.88638000000003
ECL,2023-10-12,1.62,-0.02,-1.219512,1.61,1.63,1.61,1736700,2813.581
EGCO,2023-10-12,122.0,-1.0,-0.813008,123.0,123.0,121.5,876341,107015.2795
EPG,2023-10-12,6.9,0.0,0.0,6.9,6.9,6.8,916019,6275.817400000001
ESSO,2023-10-12,10.4,-0.1,-0.952381,10.4,10.5,10.1,16773682,172558.0336
FORTH,2023-10-12,27.75,-0.75,-2.631579,28.75,28.75,27.75,758848,21303.334
FPT,2023-10-12,14.8,0.1,0.680272,14.8,14.9,14.7,31300,464.15
FTREIT,2023-10-12,9.8,0,0,9.75,9.8,9.55,1467024,14185.83005
GFPT,2023-10-12,10.4,0.1,0.970874,10.3,10.5,10.3,938827,9801.8695
GLOBAL,2023-10-12,16.1,-0.1,-0.617284,16.3,16.4,16.1,3054542,49489.7897
GPSC,2023-10-12,42.0,-1.0,-2.325581,43.0,43.0,42.0,4726158,201092.23725
GULF,2023-10-12,44.0,-0.5,-1.123596,44.5,44.75,43.5,14610073,644373.772
GUNKUL,2023-10-12,2.96,-0.02,-0.671141,3.0,3.0,2.94,20356152,60387.52336
GVREIT,2023-10-12,5.75,-0.05,-0.862069,5.8,5.8,5.75,367400,2115.495
HANA,2023-10-12,64.75,-0.5,-0.766284,65.5,66.25,64.0,18307167,1191970.179
HFT,2023-10-12,4.1,0.0,0.0,4.1,4.16,4.06,309952,1268.02826
HMPRO,2023-10-12,12.2,-0.1,-0.813008,12.3,12.4,12.2,12719669,155808.9436
HTC,2023-10-12,16.3,0.0,0.0,16.4,16.5,16.2,204111,3329.8484
ICHI,2023-10-12,16.7,0.1,0.60241,16.7,17.1,16.4,13251437,222612.25040000002
III,2023-10-12,11.2,0.0,0.0,11.3,11.4,11.1,1163008,13081.9694
ILM,2023-10-12,24.4,-0.1,-0.408163,24.5,24.6,24.1,428250,10435.655
IMPACT,2023-10-12,12.8,0,0,12.8,12.8,12.7,91600,1172.18
INTUCH,2023-10-12,72.0,0.0,0.0,71.5,72.25,71.5,1692999,121851.40696
IRPC,2023-10-12,2.02,-0.02,-0.980392,2.06,2.06,2.02,26392268,53611.53344
IVL,2023-10-12,25.75,0.0,0.0,25.75,26.0,25.5,12481659,322247.1335
JASIF,2023-10-12,6.8,0,0,6.75,6.8,6.75,2007626,13622.316949999999
JMART,2023-10-12,21.0,-0.9,-4.109589,22.0,22.2,21.0,22434152,481054.43580000004
JMT,2023-10-12,38.0,-2.75,-6.748466,41.0,41.25,38.0,34362774,1348301.889
KBANK,2023-10-12,127.5,-1.0,-0.77821,128.0,129.0,127.0,8659413,1107552.0195
KCE,2023-10-12,55.5,-0.75,-1.333333,56.75,57.0,55.5,12820793,719887.27925
KEX,2023-10-12,5.85,-0.45,-7.142857,6.3,6.35,5.8,5476981,32643.19755
KGI,2023-10-12,4.48,0.0,0.0,4.48,4.5,4.46,338831,1516.9975
KKP,2023-10-12,54.0,-0.25,-0.460829,54.5,54.5,54.0,1008924,54653.23775
KSL,2023-10-12,2.82,0.0,0.0,2.84,2.84,2.8,841303,2372.53678
