name,sts,fm_date,days,fm_price,to_price,chg,chg%,up%,ttl%,target,min_price,buy,hold,sell
SYNEX,B,2022-12-21,6,15.6,16.1,0.5,3,14,17,18.48,15.5,3,2,0
STA,B,2022-12-20,7,18.5,20.2,1.7,9,0,9,20.0,1.08,1,0,1
RCL,B,2022-12-20,7,29.5,30.75,1.25,4,-11,-7,27.25,1.69,0,0,1
JMART,O,2022-12-20,7,40.0,40.5,0.5,1,45,46,59.0,0.62,1,0,0
CKP,O,2022-12-19,8,4.78,4.64,-0.14,-2,43,41,6.65,-3.35,2,0,0
MEGA,O,2022-12-20,7,44.75,45.5,0.75,1,35,36,61.75,0.56,4,0,0
SCB,O,2022-12-15,12,103.0,105.5,2.5,2,28,30,135.8,1.46,12,0,0
III,O,2022-12-20,7,13.7,13.3,-0.4,-2,31,29,17.5,-3.65,1,0,0
CPF,O,2022-12-19,8,24.1,24.6,0.5,2,25,27,30.85,0.41,10,1,0
TFG,O,2022-12-21,6,5.0,5.2,0.2,4,-100,-96,0.0,5.0,0,0,0
