,name,shares,unit_cost,cost_amt,mkt_price,market_amt,dividend,div_amt,cost_pct,mkt_pct,profit,pft_pct,period
11,ASP,30000,3.8,114000.0,2.98,89400.0,0.27,8100.0,7.11,9.06,-24600.0,-21.58,1
3,MCS,75000,15.4,1155000.0,8.95,671250.0,0.5,37500.0,3.25,5.59,-483750.0,-41.88,1
13,PTTGC,9000,61.25,551250.0,47.25,425250.0,2.5,22500.0,4.08,5.29,-126000.0,-22.86,1
0,STA,15000,36.5,547500.0,21.1,316500.0,1.65,24750.0,4.52,7.82,-231000.0,-42.19,1
5,TMT,36000,10.2,367200.0,7.8,280800.0,0.85,30600.0,8.33,10.9,-86400.0,-23.53,1
8,BCH,15000,21.46,321900.0,20.5,307500.0,1.4,21000.0,6.52,6.83,-14400.0,-4.47,2
25,CPNREIT,20000,18.9,378000.0,19.5,390000.0,0.9059,18118.0,4.79,4.65,12000.0,3.17,2
20,DCC,60000,2.96,177600.0,2.82,169200.0,0.16,9600.0,5.41,5.67,-8400.0,-4.73,2
4,DIF,40000,14.7,588000.0,13.2,528000.0,1.041,41640.0,7.08,7.89,-60000.0,-10.2,2
17,GVREIT,20000,8.9,178000.0,9.1,182000.0,0.7786,15572.0,8.75,8.56,4000.0,2.25,2
10,JASIF,130000,10.0,1300000.0,8.05,1046500.0,0.94,122200.0,9.4,11.68,-253500.0,-19.5,2
23,RCL,24000,39.8,955200.0,30.75,738000.0,7.0,168000.0,17.59,22.76,-217200.0,-22.74,2
16,SCCC,1200,171.0,205200.0,153.5,184200.0,9.0,10800.0,5.26,5.86,-21000.0,-10.23,2
9,SENA,105000,4.48,470400.0,3.94,413700.0,0.3384,35532.0,7.55,8.59,-56700.0,-12.05,2
24,TFFIF,10000,7.5,75000.0,7.65,76500.0,0.3721,3721.0,4.96,4.86,1500.0,2.0,2
14,WHAIR,40000,8.95,358000.0,7.45,298000.0,0.6744,26976.0,7.54,9.05,-60000.0,-16.76,2
7,WHART,30000,11.7,351000.0,10.7,321000.0,0.7583,22749.0,6.48,7.09,-30000.0,-8.55,2
19,GFPT,7500,12.5,93750.0,12.8,96000.0,0.1,750.0,0.8,0.78,2250.0,2.4,3
12,IVL,2400,44.0,105600.0,40.75,97800.0,1.45,3480.0,3.3,3.56,-7800.0,-7.39,3
1,JMART,3000,40.0,120000.0,40.75,122250.0,1.46,4380.0,3.65,3.58,2250.0,1.88,3
2,KCE,14000,72.75,1018500.0,46.5,651000.0,2.0,28000.0,2.75,4.3,-367500.0,-36.08,3
6,MAKRO,7500,40.4,303000.0,40.0,300000.0,0.5,3750.0,1.24,1.25,-3000.0,-0.99,3
18,NER,27000,7.45,201150.0,6.35,171450.0,0.43,11610.0,5.77,6.77,-29700.0,-14.77,3
15,ORI,45000,11.0,495000.0,12.1,544500.0,0.57,25650.0,5.18,4.71,49500.0,10.0,3
21,SYNEX,15000,28.7,430500.0,16.4,246000.0,0.7,10500.0,2.44,4.27,-184500.0,-42.86,3
22,SCC,600,405.0,243000.0,342.0,205200.0,9.9999,5999.94,2.47,2.92,-37800.0,-15.56,4
