Name,Target,Max,Min,Buy,Hold,Sell
ACE,3.68,3.76,3.60,1,1,0
ADVANC,250.50,265.00,230.00,13,2,0
AEONTS,183.00,226.00,165.00,4,6,0
AH,46.01,54.10,41.00,9,0,0
AIMIRT,14.50,14.50,14.50,1,0,0
AJ,10.00,10.00,10.00,1,0,0
AMATA,28.42,30.00,25.80,15,1,0
ANAN,0.74,0.80,0.62,0,1,0
AOT,82.71,92.00,72.00,12,1,0
AP,14.76,16.00,14.00,15,0,0
ASIAN,9.32,11.20,7.59,3,1,0
ASK,29.53,34.50,23.60,3,1,0
ASP,3.00,3.00,3.00,0,0,0
ASW,10.08,11.00,8.95,2,1,0
AWC,5.90,6.80,5.30,3,3,0
BA,20.42,22.00,19.50,7,0,0
BAM,13.32,16.00,10.00,7,3,0
BANPU,9.03,10.50,7.00,2,4,3
BAY,36.38,38.00,32.50,3,1,0
BBL,193.51,220.00,164.00,19,1,0
BCH,20.93,23.70,15.70,11,3,2
BCP,44.98,52.50,37.00,14,4,0
BCPG,14.13,18.00,11.00,8,1,0
BDMS,54.88,310.00,32.00,14,0,0
BE8,58.31,74.00,49.00,4,0,0
BEAUTY,0.50,0.50,0.50,0,0,0
BEC,8.03,9.00,6.00,3,4,2
BEM,10.94,12.40,9.50,15,0,0
BGC,9.88,10.30,9.45,1,1,0
BGRIM,43.04,50.00,26.75,15,4,0
BH,284.48,310.00,246.00,13,2,0
BJC,42.00,45.00,30.00,12,1,1
BLA,36.50,40.00,33.00,2,0,0
BLAND,1.10,1.10,1.10,1,0,0
BPP,17.56,20.00,15.50,3,2,0
BTS,8.96,11.20,7.50,6,3,0
BTSGIF,5.22,6.45,4.15,4,1,0
CBG,86.74,109.00,60.00,8,5,1
CENTEL,52.60,59.00,47.15,6,6,0
CHG,3.51,4.00,2.55,6,5,1
CK,26.89,30.25,25.00,12,0,0
CKP,4.57,6.20,3.16,4,3,1
COM7,37.79,41.00,35.00,13,0,0
COTTO,2.24,2.24,2.24,0,0,0
CPALL,75.35,80.00,70.00,19,1,0
CPAXT,38.02,43.00,29.00,10,1,1
CPF,22.24,25.60,17.30,9,8,1
CPN,81.04,84.00,78.00,12,0,0
CPNREIT,11.28,13.00,10.00,2,2,0
CPTGF,6.20,6.20,6.20,1,0,0
CRC,49.87,54.00,46.00,12,1,0
DCC,2.24,2.55,2.06,0,0,0
DELTA,73.97,100.00,55.55,2,0,0
DIF,13.30,19.00,10.50,4,1,0
DOHOME,12.48,19.40,8.00,8,4,0
DRT,8.32,8.50,8.05,1,2,0
EA,71.64,84.00,46.00,5,4,0
EASTW,8.00,8.00,8.00,1,0,0
EGCO,171.14,249.00,120.00,3,3,1
EPG,8.72,10.30,7.20,3,2,0
ESSO,11.70,15.00,8.30,4,0,0
FPT,16.50,16.50,16.50,1,0,0
FTREIT,12.00,12.00,12.00,1,0,0
GFPT,14.01,16.20,12.00,10,4,0
GGC,10.68,12.20,10.00,0,1,0
GLOBAL,18.51,22.00,17.00,7,6,0
GPSC,69.62,80.00,52.00,15,4,0
GULF,58.52,68.00,45.00,13,2,0
GUNKUL,4.93,6.20,4.30,5,0,0
GVREIT,6.60,6.60,6.60,0,0,0
HANA,63.55,80.00,47.60,8,3,1
HMPRO,16.64,18.50,13.78,16,2,0
HTC,45.50,48.00,41.50,2,1,0
ICHI,19.07,21.50,17.00,6,0,0
III,15.12,18.10,12.00,5,1,0
ILM,25.13,30.00,22.10,4,2,0
IMH,13.55,13.55,13.55,1,0,0
IMPACT,15.60,16.50,14.70,2,0,0
INTUCH,86.08,100.00,68.00,5,0,0
IP,16.33,17.00,16.00,2,1,0
IRPC,2.51,3.00,1.80,4,8,2
IVL,35.86,44.00,28.00,13,3,1
JASIF,7.19,8.30,6.00,1,4,0
JMART,24.88,25.75,24.00,1,1,0
JMT,55.56,70.00,46.00,9,0,0
KBANK,149.78,168.00,133.00,10,7,0
KCE,53.16,64.00,42.00,13,4,0
KEX,8.76,10.80,7.50,0,1,0
KKP,64.00,78.00,55.00,5,9,2
KSL,3.43,3.90,2.95,1,1,0
KTB,22.79,25.00,19.40,16,2,0
KTC,56.56,75.00,42.00,7,0,0
LALIN,6.34,7.17,5.50,0,1,0
LANNA,14.90,14.90,14.90,0,0,0
LH,10.06,11.10,8.80,9,4,0
LPF,15.00,15.00,15.00,1,0,0
LPN,3.69,4.30,3.00,0,1,0
M,55.31,61.00,52.00,6,2,0
MAJOR,19.63,23.20,17.50,9,1,0
MC,15.24,16.45,14.00,8,0,0
MCS,8.30,8.30,8.30,0,0,0
MEGA,52.44,65.00,47.00,9,0,0
MINT,42.11,46.00,38.00,14,0,0
MST,10.00,10.00,10.00,0,0,0
MTC,38.24,49.00,31.00,6,6,6
NER,5.65,6.20,5.30,6,0,0
NOBLE,5.31,5.91,4.70,1,1,0
ONEE,6.07,6.40,5.55,7,1,0
OR,24.36,29.50,17.50,10,5,2
ORI,13.20,14.40,12.50,10,0,0
OSP,32.83,35.00,29.00,9,3,0
PLANB,10.02,11.00,8.32,11,1,0
PRM,9.00,11.10,8.00,6,0,0
PSH,11.24,15.40,8.00,2,2,5
PSL,11.75,13.00,10.30,3,1,0
PTG,12.05,14.00,10.20,5,6,0
PTT,39.20,47.50,30.00,11,4,1
PTTEP,183.24,200.00,167.00,18,5,0
PTTGC,41.92,52.00,34.00,4,11,1
QH,2.51,2.90,2.00,4,6,0
RATCH,44.32,54.50,35.50,7,4,0
RBF,12.83,14.50,11.20,6,1,0
RCL,18.00,18.00,18.00,0,0,0
RJH,32.00,33.00,31.00,0,0,0
ROJNA,8.04,8.70,7.36,3,1,0
RS,16.03,17.90,14.00,3,2,1
SAPPE,105.10,120.00,85.50,8,4,0
SAT,21.85,23.70,19.10,7,4,1
SAWAD,53.97,64.00,42.00,9,4,2
SC,5.09,5.30,4.80,9,0,0
SCB,129.12,145.00,106.50,16,1,0
SCC,348.07,410.00,310.00,7,6,1
