Name,Price,Buy,Hold,Sell,EPS_a,EPS_b,PE,PBV,DIV%,Target,Sts
ACE,2.70,1,1,0,0.14,0.17,18.7,1.9,1.7,4.06,X
ADVANC,195.00,9,1,0,8.72,9.20,22.4,6.8,3.7,237,X
AEONTS,182.00,4,0,0,15.56,17.35,11.7,2.2,2.9,208,X
AH,29.75,5,1,0,4.63,4.43,6.4,1.1,5.1,40.13,X
AJ,12.70,1,0,0,0.99,1.28,12.8,1.1,5.1,17.70,X
AMATA,21.30,7,1,0,1.36,1.44,15.6,1.3,2.2,24.03,X
ANAN,1.45,1,2,1,-0.13,0.01,-11.5,0.4,1.7,1.36,X
AOT,75.00,8,5,0,-0.63,0.84,-118.3,10.2,0,79.12,X
AP,11.60,8,0,0,1.86,1.94,6.2,1.0,5.5,14.28,X
ASIAN,13.70,3,0,0,1.24,1.24,11.0,2.4,4.9,18.53,X
ASK,35.50,3,0,0,2.80,3.38,12.7,1.8,4.4,46.67,X
ASP,2.98,0,2,0,0.22,0.27,13.9,1.4,6.0,3.00,X
AWC,6.30,2,1,0,0.05,0.08,128.5,2.5,0.2,6.25,X
BA,13.40,2,3,0,-1.11,-0.15,-12.0,2.1,0,13.71,X
BAM,15.80,3,0,0,0.88,1.06,17.9,1.2,3.9,21.50,X
BANPU,13.70,5,1,0,7.50,4.60,1.8,0.7,9.5,17.82,X
BAY,30.75,2,1,0,3.96,4.27,7.8,0.7,3.3,37.17,X
BBL,148.00,6,0,0,16.59,19.01,8.9,0.5,3.5,170.2,X
BCH,20.50,7,4,0,1.42,0.77,14.4,3.4,2.7,22.38,X
BCP,31.50,6,1,0,10.86,4.13,2.9,0.7,9.2,38.49,X
BCPG,10.20,6,2,0,0.92,0.55,11.1,1.0,3.7,12.58,X
BDMS,29.00,11,1,0,0.77,0.83,37.6,5.0,1.9,34.27,X
BE8,61.00,3,0,0,0.64,1.29,94.7,8.9,0.5,80.69,X
BEAUTY,1.39,0,1,0,0.02,0.05,61.9,5.0,0,1.30,X
BEC,10.10,5,0,0,0.31,0.38,33.0,3.1,1.8,12.06,X
BEM,9.80,8,0,0,0.17,0.23,59.0,3.8,1.1,11.15,X
BGC,10.00,2,3,0,0.68,0.73,14.8,1.5,4.2,11.12,X
BGRIM,39.75,6,4,0,0.08,0.88,484.7,3.2,0.3,43.55,X
BH,212.00,4,4,1,5.70,6.12,37.2,8.9,1.6,227,X
BJC,35.25,5,1,0,1.23,1.55,28.6,1.2,2.0,39.58,X
BLA,28.75,3,0,0,2.29,2.71,12.5,1.0,2.0,48.67,X
BLAND,1.04,1,0,0,0.03,0.05,31.6,0.4,2.9,1.42,X
BPP,16.40,2,1,0,1.76,1.23,9.3,1.0,4.5,18.40,X
BTS,8.40,6,1,0,0.22,0.20,38.4,1.7,3.2,10.74,X
BTSGIF,3.82,3,0,0,-0.38,0.20,-10.0,0.6,10.4,5.58,X
CBG,96.75,6,3,0,2.54,3.10,38.0,8.7,1.7,106.5,X
CENTEL,50.25,5,1,0,0.18,0.99,279.2,3.7,0,53.15,X
CHG,3.68,5,4,1,0.27,0.12,13.7,4.7,4.4,4.08,X
CK,24.30,13,0,0,0.61,0.94,39.7,1.6,1.3,28.44,X
CKP,4.56,5,1,0,0.31,0.30,14.6,1.4,2.2,6.23,X
COM7,34.00,6,0,0,1.26,1.46,27.0,10.1,2.3,40.55,X
COTTO,2.06,1,0,0,-0.03,0.13,-78.4,1.3,2.7,2.48,X
CPALL,68.25,9,0,0,1.55,2.09,44.0,3.4,1.1,75.07,X
CPF,24.80,11,1,0,1.91,2.05,13.0,0.8,2.9,31.28,X
CPN,71.00,7,1,0,2.33,2.68,30.5,3.8,1.3,77.41,X
CPNREIT,19.50,1,1,0,0.82,1.00,23.8,1.5,5.6,22.40,X
CRC,46.25,7,1,0,1.02,1.33,45.5,4.5,0.8,47.76,X
DCC,2.82,1,0,0,0.19,0.20,15.1,4.2,5.5,3.30,X
DELTA,830.00,0,1,0,12.36,14.44,67.1,18.9,0.6,590,X
DIF,13.20,3,2,0,1.12,1.13,11.8,0.8,7.8,14.74,X
DOHOME,14.80,4,2,1,0.31,0.55,48.1,3.9,0.4,14.90,X
DRT,8.05,1,0,0,0.70,0.67,11.5,2.9,6.0,9.30,X
DTAC,46.75,7,1,0,1.09,1.43,42.9,6.0,3.0,54.35,X
EA,97.00,3,3,0,2.01,2.28,48.3,9.0,0.5,96.58,X
EASTW,5.30,1,1,0,0.56,0.59,9.4,0.8,6.9,8.00,X
ECL,2.04,1,1,0,0.15,0.17,14.1,1.2,4.2,2.53,X
EGATIF,6.60,0,1,0,0.23,0.40,28.1,0.7,2.6,7.45,X
EGCO,172.50,6,0,0,15.56,23.22,11.1,0.8,4.1,230,X
EPG,9.90,6,2,0,0.56,0.57,17.7,2.3,3.2,12.14,X
ESSO,12.60,1,2,0,3.76,1.77,3.4,1.6,11.5,14.20,X
FORTH,32.25,1,0,0,0.80,1.30,40.3,8.7,1.5,52.00,X
FPT,15.30,1,1,0,1.06,1.02,14.4,1.0,3.1,16.60,X
GFPT,12.80,7,0,0,1.64,1.52,7.8,1.0,2.6,18.14,X
GGC,14.80,1,1,2,1.24,0.98,12.0,1.4,4.2,14.43,X
GLOBAL,22.40,6,0,0,0.78,0.85,28.9,4.8,1.4,23.98,X
GPSC,73.00,7,1,1,0.79,2.14,92.7,1.9,1.1,76.94,X
GULF,55.25,3,1,0,0.91,1.53,60.5,6.0,1.0,58.75,X
GUNKUL,5.25,1,2,1,0.23,0.22,22.9,3.2,1.9,5.30,X
GVREIT,9.10,0,1,0,0.79,0.75,11.5,0.8,8.4,9.80,X
HANA,51.50,5,5,1,2.47,2.97,20.8,1.8,3.2,54.02,X
HFT,6.50,0,1,0,0.74,0.71,8.8,1.1,5.7,7.00,X
HMPRO,15.50,4,0,0,0.47,0.51,33.0,8.6,2.4,16.95,X
HTC,28.00,4,0,0,2.32,2.69,12.1,1.5,5.5,37.25,X
ICHI,11.30,5,0,0,0.48,0.56,23.7,2.4,4.7,14.12,X
III,13.20,1,0,0,0.72,0.68,18.3,4.4,2.7,17.20,X
ILM,18.60,4,0,0,1.25,1.38,14.9,1.7,3.4,23.08,X
