,name,yield,price,target,upside,buy,hold,sell,score,mrkt,sector,subsector,volume,beta
2,BCP,7.2,30.5,40.07,31,6,0,0,18,SET100,Resources,Energy & Utilities,190.83,0.74
5,LALIN,7.0,9.1,10.48,15,3,1,0,10,SET999,Property & Construction,Property Development,2.3,0.86
3,KKP,6.4,74.0,87.67,18,6,0,0,18,SET100,Financials,Banking,516.91,0.77
0,PTT,6.1,32.25,41.41,28,6,1,1,16,SET50,Resources,Energy & Utilities,1539.86,0.92
4,AP,6.1,11.1,14.32,29,6,0,0,18,SET100,Property & Construction,Property Development,348.57,0.79
6,SC,6.0,4.08,4.75,16,5,1,0,16,SET999,Property & Construction,Property Development,61.8,1.05
7,MAJOR,5.6,17.8,22.95,29,4,0,0,12,SET999,Services,Media & Publishing,63.5,0.7
8,AH,5.3,28.75,40.13,40,5,1,0,16,SET999,Industrials,Automotive,78.12,1.47
9,ICHI,5.2,11.3,13.75,22,4,0,0,12,SET999,Agro & Food Industry,Food & Beverage,74.19,1.71
1,RATCH,5.1,43.75,53.0,21,4,1,0,13,SET50,Resources,Energy & Utilities,360.41,0.63
