name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
ACE,2023-01-26,2.62,2.62,2.64,2.58,2.58,22765082,59197.12,0.50,3.40,1.84,-0.04,-1.53
ADVANC,2023-01-26,201.00,201.00,202.00,199.00,200.00,4415155,882782.45,1.00,261.00,141.00,-1.00,-0.50
AEONTS,2023-01-26,194.50,193.50,194.50,189.00,189.00,464844,89452.35,1.00,252.00,136.50,-5.50,-2.83
AH,2023-01-26,33.25,33.25,33.25,31.75,31.75,2819041,91015.95,1.00,43.00,23.30,-1.50,-4.51
AIE,2023-01-26,2.90,2.96,2.96,2.78,2.80,2273493,6454.95,1.00,3.76,2.04,-0.10,-3.45
AIMIRT,2023-01-26,12.20,12.30,12.30,12.20,12.30,258312,3176.24,10.00,15.80,8.55,+0.10,+0.82
AIT,2023-01-26,6.55,6.55,6.65,6.45,6.55,5194063,34076.93,1.00,8.50,4.60,0.00,0.00
AJ,2023-01-26,13.00,13.10,13.10,12.80,13.00,277588,3608.57,1.00,16.90,9.10,0.00,0.00
AMATA,2023-01-26,20.10,20.20,20.20,19.40,19.50,20109572,394178.83,1.00,26.00,14.10,-0.60,-2.99
ANAN,2023-01-26,1.42,1.42,1.43,1.39,1.40,18771666,26312.13,0.10,1.84,1.00,-0.02,-1.41
AOT,2023-01-26,75.00,75.00,75.25,74.75,75.25,16931324,1270007.50,1.00,97.50,52.50,+0.25,+0.33
AP,2023-01-26,11.50,11.50,11.60,11.30,11.50,10508013,120181.38,1.00,14.90,8.05,0.00,0.00
ASIAN,2023-01-26,13.50,13.50,13.60,13.30,13.50,706825,9508.96,1.00,17.50,9.45,0.00,0.00
ASK,2023-01-26,32.25,32.50,33.00,32.25,32.75,882959,28817.87,5.00,41.75,22.60,+0.50,+1.55
ASP,2023-01-26,3.10,3.12,3.12,3.08,3.08,3647294,11300.28,1.00,4.02,2.18,-0.02,-0.65
ASW,2023-01-26,8.05,8.05,8.10,8.00,8.05,599832,4819.04,1.00,10.40,5.65,0.00,0.00
AWC,2023-01-26,6.20,6.20,6.20,6.05,6.10,39044308,237899.26,1.00,8.05,4.34,-0.10,-1.61
BA,2023-01-26,14.00,14.40,14.80,14.20,14.20,13558523,196307.01,1.00,18.20,9.80,+0.20,+1.43
BAM,2023-01-26,16.20,16.20,16.20,15.60,16.00,51632906,818854.43,5.00,21.00,11.40,-0.20,-1.23
BANPU,2023-01-26,12.50,12.30,12.30,12.00,12.30,160723910,1961115.26,1.00,16.20,8.75,-0.20,-1.60
BAY,2023-01-26,32.25,32.00,32.25,31.75,31.75,588034,18716.86,10.00,41.75,22.60,-0.50,-1.55
BBL,2023-01-26,155.00,155.50,158.50,155.00,158.50,17424448,2742242.72,10.00,201.00,108.50,+3.50,+2.26
BCH,2023-01-26,20.60,20.70,20.90,20.50,20.70,8886118,183914.58,1.00,26.75,14.50,+0.10,+0.49
BCP,2023-01-26,36.75,37.00,37.00,36.25,36.50,5382586,196798.01,1.00,47.75,25.75,-0.25,-0.68
BCPG,2023-01-26,10.00,10.00,10.10,9.75,9.85,14064015,138588.48,5.00,13.00,7.00,-0.15,-1.50
BCT,2023-01-26,59.75,59.50,59.50,59.50,59.50,1012,60.21,1.00,77.50,42.00,-0.25,-0.42
