name,fm_date,to_date,fm_price,to_price,qty,max_price,min_price,percent,status,price,change,volume,date
AH,2023-08-30,2023-08-31,34.5,36.0,11071484,36.0,34.0,4.35,B,36.0,0.0,1973637,2023-09-01
AIMIRT,2023-08-25,2023-08-31,11.0,10.9,2430432,11.0,10.8,-0.91,I,10.8,-0.1,25701,2023-09-01
ASK,2023-08-30,2023-08-31,25.25,26.0,12773172,26.0,23.7,2.97,I,25.25,-0.75,825987,2023-09-01
ASP,2023-08-30,2023-08-31,2.94,2.92,45424780,3.02,2.8,-0.68,I,2.94,0.02,560712,2023-09-01
AWC,2023-08-31,2023-08-31,4.42,4.36,386017008,4.42,4.06,-1.36,B,4.26,-0.1,64640345,2023-09-01
BBL,2023-08-31,2023-08-31,171.0,169.5,36592608,171.0,166.5,-0.88,O,169.0,-0.5,2636541,2023-09-01
BCH,2023-08-31,2023-08-31,19.8,19.3,360006216,19.8,18.6,-2.53,I,19.0,-0.3,16402588,2023-09-01
BEM,2023-08-31,2023-08-31,8.85,8.65,61079824,9.1,8.65,-2.26,O,8.7,0.05,21423023,2023-09-01
BH,2023-08-29,2023-08-31,255.0,259.0,13328360,260.0,255.0,1.57,O,255.0,-4.0,1419569,2023-09-01
CK,2023-08-31,2023-08-31,23.4,23.0,72232680,23.5,21.8,-1.71,O,23.0,0.0,2591362,2023-09-01
CPN,2023-08-31,2023-08-31,69.25,68.75,5961284,70.0,68.75,-0.72,O,68.0,-0.75,3035182,2023-09-01
CPNREIT,2023-08-31,2023-08-31,10.8,11.1,25021436,11.1,10.6,2.78,S,11.0,-0.1,814839,2023-09-01
DELTA,2023-08-31,2023-08-31,109.5,108.5,70392880,109.5,105.5,-0.91,O,110.0,1.5,13151409,2023-09-01
DIF,2023-08-30,2023-08-31,9.3,9.45,70056756,9.45,9.15,1.61,B,9.35,-0.1,3240715,2023-09-01
GVREIT,2023-08-31,2023-08-31,7.0,7.05,5832008,7.5,7.0,0.71,I,7.0,-0.05,216602,2023-09-01
HANA,2023-08-31,2023-08-31,63.25,62.25,69633904,63.25,60.5,-1.58,O,62.0,-0.25,14013092,2023-09-01
ICHI,2023-08-30,2023-08-31,16.5,17.3,183481472,17.3,15.6,4.85,O,16.5,-0.8,14905751,2023-09-01
III,2023-08-31,2023-08-31,12.5,12.4,6596756,12.5,11.8,-0.8,O,12.3,-0.1,5048820,2023-09-01
IVL,2023-08-30,2023-08-31,28.5,29.0,367824248,29.75,28.5,1.75,I,29.0,0.0,11475880,2023-09-01
