WHAIR,2023-01-05,2023-01-11,7.55,7.45,2572986,7.5,-1.32,-1.32,B
GVREIT,2023-01-09,2023-01-11,9.1,9.0,406065,9.05,-1.1,-1.1,B
TFFIF,2023-01-10,2023-01-11,7.75,7.85,2118554,8.0,7.8,1.29,B
CPNREIT,2023-01-10,2023-01-11,18.8,19.3,1069463,19.4,19.2,2.66,B
IVL,2023-01-06,2023-01-11,37.75,41.5,120391143,41.75,9.27,9.93,B
MAKRO,2023-01-09,2023-01-11,43.0,42.0,37417665,42.5,-1.16,-2.33,I
BANPU,2023-01-10,2023-01-11,12.5,12.4,146184437,12.5,12.2,-0.8,I
BCH,2023-01-10,2023-01-11,21.9,21.8,11508810,22.2,21.7,-0.46,I
SYNEX,2023-01-10,2023-01-11,17.0,17.1,5531672,17.6,17.1,0.59,I
SCC,2022-12-30,2023-01-11,342.0,359.0,16464498,360.0,4.68,4.97,I
CPF,2022-12-30,2023-01-11,24.8,24.0,71168612,24.3,-3.23,-3.23,O
LPF,2023-01-10,2023-01-11,12.6,12.7,1132659,12.7,12.6,0.79,O
SINGER,2023-01-10,2023-01-11,29.25,29.5,2719692,29.75,29.25,0.85,O
PTT,2023-01-04,2023-01-11,32.0,33.5,221560426,33.5,3.91,4.69,O
CKP,2023-01-03,2023-01-11,4.52,4.74,66316624,4.76,3.98,4.87,O
TFG,2023-01-09,2023-01-11,5.05,5.3,29865175,5.5,3.96,4.95,O
JMART,2023-01-05,2023-01-11,40.0,42.25,29623239,42.5,5.0,5.62,O
GFPT,2023-01-05,2023-01-11,12.7,13.7,42934750,14.1,7.09,7.87,O
ASP,2023-01-03,2023-01-11,2.96,3.06,19613323,3.1,2.03,3.38,S
TMT,2023-01-05,2023-01-11,7.65,8.0,1335511,8.05,3.92,4.58,S
