name,percent,status,fm_price,to_price,market,fm_date,bdays,max_price,min_price
IVL,9.27,B,37.75,41.25,SET50,2023-01-06,3,41.5,1.99
GFPT,7.09,O,12.7,13.6,SET,2023-01-05,4,13.7,1.57
JMART,5.0,O,40.0,42.0,SET50,2023-01-05,4,42.75,3.75
SCC,4.68,I,342.0,358.0,SET50,2022-12-30,8,358.0,2.92
CKP,3.98,O,4.52,4.7,SET100,2023-01-03,6,4.74,2.65
TFG,3.96,O,5.05,5.25,SET,2023-01-09,2,5.3,5.05
TMT,3.92,S,7.65,7.95,SET,2023-01-05,4,7.95,1.96
PTT,3.91,O,32.0,33.25,SET50,2023-01-04,5,33.25,3.12
CPF,-3.23,O,24.8,24.0,SET50,2022-12-30,8,24.3,-2.42
CPNREIT,-3.59,B,19.5,18.8,SET,2023-01-09,2,19.6,18.8
