name,fm_date,to_date,fm_price,to_price,percent,qty,max_price,min_price,status,action
ASK,2023-02-16,2023-02-16,30.75,31.0,0.81,3653445,33.0,30.5,B,Insert
BANPU,2023-02-14,2023-02-16,11.0,11.1,0.91,91249864,11.3,10.9,B,Update
CK,2023-02-14,2023-02-16,22.0,22.2,0.91,4410264,22.3,21.6,O,Update
CKP,2023-02-16,2023-02-16,4.28,4.28,0.0,52027298,4.74,4.24,O,Insert
DIF,2023-02-16,2023-02-16,13.2,13.3,0.76,2994178,13.4,13.2,I,Insert
IVL,2023-02-15,2023-02-16,40.0,39.5,-1.25,13819044,40.5,39.5,I,Update
JASIF,2023-02-16,2023-02-16,8.15,8.15,0.0,4351404,8.25,8.1,I,Insert
JMART,2023-02-16,2023-02-16,28.5,29.5,3.51,69203823,37.75,28.5,B,Insert
JMT,2023-02-15,2023-02-16,42.75,45.5,6.43,42547825,50.5,42.0,B,Update
KCE,2023-02-16,2023-02-16,46.75,46.75,0.0,20195377,48.75,46.75,B,Insert
MC,2023-02-16,2023-02-16,11.9,12.0,0.84,794450,12.5,11.7,O,Insert
MEGA,2023-02-16,2023-02-16,48.0,48.0,0.0,1582016,52.0,47.25,O,Insert
ORI,2023-02-16,2023-02-16,11.6,11.6,0.0,2100850,12.0,11.5,I,Insert
PTT,2023-02-14,2023-02-16,32.75,32.75,0.0,24071255,32.75,32.25,O,Update
RCL,2023-02-16,2023-02-16,29.0,29.5,1.72,1739426,30.75,29.0,B,Insert
SAT,2023-02-16,2023-02-16,20.7,20.5,-0.97,1042208,21.7,20.7,O,Insert
SINGER,2023-02-16,2023-02-16,18.8,18.3,-2.66,62838179,27.5,18.6,B,Insert
TCAP,2023-02-08,2023-02-16,42.75,42.5,-0.58,2247842,43.0,42.5,O,Update
TMT,2023-02-16,2023-02-16,7.95,7.9,-0.63,156125,8.1,7.85,S,Insert
TTB,2023-02-16,2023-02-16,1.39,1.39,0.0,78480088,1.42,1.38,O,Insert
WHAIR,2023-02-15,2023-02-16,7.8,7.85,0.64,203316,7.9,7.8,I,Update
