name,qtrly,shares,amount,net,xdate,paiddate,cost_amt,pct,actual
ASP,0.2,30000,6000.0,5400.0,2023-08-24,2023-09-09,114000.0,4.74,0
BCH,1.0,15000,15000.0,13500.0,2023-08-31,2023-09-14,321900.0,4.19,0
CPNREIT,0.0552,20000,1104.0,993.6,2023-11-16,2023-12-02,378000.0,0.26,0
DCC,0.045,60000,2700.0,2430.0,2023-11-22,2023-12-06,177600.0,1.37,0
DIF,0.261,40000,10440.0,9396.0,2023-11-11,2023-12-06,588000.0,1.6,0
GVREIT,0.195,20000,3900.0,3510.0,2023-12-08,2023-12-23,178000.0,1.97,0
IVL,0.25,2400,600.0,540.0,2023-11-29,2023-12-15,105600.0,0.51,0
JASIF,0.25,130000,32500.0,29250.0,2023-11-21,2023-12-08,1300000.0,2.25,0
JMART,1.06,0,0.0,0.0,2023-04-19,2023-05-06,120000.0,0.0,0
KCE,1.0,14000,14000.0,12600.0,2023-08-22,2023-09-09,1018500.0,1.24,0
MAKRO,0.32,7500,2400.0,2160.0,2023-08-22,2023-09-06,303000.0,0.71,0
MCS,0.5,75000,37500.0,33750.0,2023-09-03,2023-09-15,1155000.0,2.92,0
NER,0.36,27000,9720.0,8748.0,2023-08-23,2023-09-07,201150.0,4.35,0
ORI,0.42,45000,18900.0,17010.0,2023-12-08,2023-12-23,495000.0,3.44,0
PTTGC,1.75,9000,15750.0,14175.0,2023-09-02,2023-09-21,551250.0,2.57,0
RCL,3.0,24000,72000.0,64800.0,2023-11-24,2023-12-09,955200.0,6.78,0
SCC,10.0,600,6000.0,5400.0,2023-08-10,2023-08-26,243000.0,2.22,0
SCCC,9.0,1200,10800.0,9720.0,2023-08-13,2023-08-28,205200.0,4.74,0
SENA,0.2115,105000,22207.5,19986.75,2023-08-25,2023-09-09,470400.0,4.25,0
SINGER,0.55,3600,1980.0,1782.0,2024-04-29,2024-05-22,99000.0,1.8,0
STA,0.65,15000,9750.0,8775.0,2023-08-23,2023-09-08,547500.0,1.6,0
SYNEX,0.52,15000,7800.0,7020.0,2023-08-22,2023-09-05,430500.0,1.63,0
TFFIF,0.0928,10000,928.0,835.2,2023-12-09,2023-12-28,75000.0,1.11,0
TMT,0.7,36000,25200.0,22680.0,2023-08-24,2023-09-09,367200.0,6.18,0
WHAIR,0.1738,40000,6952.0,6256.8,2023-11-18,2023-12-15,358000.0,1.75,0
WHART,0.1195,30000,3585.0,3226.5,2023-11-24,2023-12-13,351000.0,0.92,0
