name,shares,unit_cost,cost_amt,dividend,div_amt,cost_pct,period
RCL,27000,38.75,1046250.0,7.0,189000.0,18.06,2
JASIF,130000,10.0,1300000.0,0.94,122200.0,9.4,2
GVREIT,40000,8.9,356000.0,0.7786,31144.0,8.75,2
TMT,36000,10.2,367200.0,0.85,30600.0,8.33,1
WHAIR,50000,8.7,435000.0,0.6744,33720.0,7.75,2
WHART,30000,11.7,351000.0,0.8941,26823.0,7.64,2
SENA,105000,4.48,470400.0,0.3384,35532.0,7.55,2
ASP,30000,3.8,114000.0,0.27,8100.0,7.11,1
DIF,40000,14.7,588000.0,1.0335,41340.0,7.03,2
BCH,15000,21.46,321900.0,1.4,21000.0,6.52,2
BANPU,18000,12.0,216000.0,0.7,12600.0,5.83,4
NER,27000,7.45,201150.0,0.43,11610.0,5.77,3
SCCC,1200,171.0,205200.0,9.0,10800.0,5.26,2
ORI,45000,11.0,495000.0,0.57,25650.0,5.18,3
TFFIF,10000,7.5,75000.0,0.3721,3721.0,4.96,2
CPNREIT,40000,18.9,756000.0,0.9059,36236.0,4.79,2
STA,5000,40.0,200000.0,1.55,7750.0,3.88,1
PTTGC,6000,64.75,388500.0,2.5,15000.0,3.86,1
JMART,3600,39.5,142200.0,1.46,5256.0,3.7,4
IVL,4800,42.0,201600.0,1.45,6960.0,3.45,3
MCS,75000,15.4,1155000.0,0.5,37500.0,3.25,1
SINGER,3600,28.0,100800.0,0.85,3060.0,3.04,4
KCE,10000,77.25,772500.0,2.0,20000.0,2.59,3
SYNEX,15000,28.7,430500.0,0.7,10500.0,2.44,3
SCC,600,405.0,243000.0,8.0,4800.0,1.98,4
JMT,3300,57.0,188100.0,0.82,2706.0,1.44,4
