name,date,price,high,low,volume,open
ACE,2023-06-27,1.88,1.91,1.87,11066943,1.9
ADVANC,2023-06-27,210.0,213.0,210.0,3277070,211.0
AEONTS,2023-06-27,185,187,185,86402,187
AH,2023-06-27,32.25,32.5,30.75,3038977,30.75
AIE,2023-06-27,1.3,1.38,1.3,815426,1.32
AIMIRT,2023-06-27,11.2,11.3,11,410107,11
AIT,2023-06-27,4.74,4.8,4.74,1160179,4.78
AJ,2023-06-27,8.8,9.05,8.65,120427,8.75
AMATA,2023-06-27,22.2,22.5,22.2,2670277,22.2
ANAN,2023-06-27,0.86,0.87,0.84,5063004,0.84
AOT,2023-06-27,71.5,72.0,71.5,17985326,71.75
AP,2023-06-27,11.4,11.6,11.4,4192141,11.6
ASIAN,2023-06-27,8.4,8.7,8.4,818942,8.7
ASK,2023-06-27,24.6,25,24.6,571366,24.6
ASP,2023-06-27,2.78,2.8,2.76,583555,2.8
ASW,2023-06-27,8.1,8.2,8.05,357463,8.1
AWC,2023-06-27,4.76,4.9,4.74,27124361,4.88
BA,2023-06-27,15.3,15.7,15.2,1355620,15.3
BAM,2023-06-27,10.2,10.5,10.1,11823477,10.2
BANPU,2023-06-27,8.9,9.05,8.9,47782718,9.05
BBL,2023-06-27,161.5,163.0,161.0,4733932,163.0
BCH,2023-06-27,17.0,17.4,17.0,7938311,17.3
BCP,2023-06-27,34.5,35.0,34.5,4374061,34.75
BCPG,2023-06-27,8.95,9.0,8.9,1429517,8.95
BDMS,2023-06-27,28.0,28.5,28.0,27268618,28.25
BEAUTY,2023-06-27,0.5,0.52,0.49,19356817,0.52
BEC,2023-06-27,7.7,7.9,7.7,1954058,7.8
BEM,2023-06-27,8.2,8.35,8.2,27956058,8.25
BGC,2023-06-27,9.45,9.5,9.4,216707,9.4
BGRIM,2023-06-27,33.5,34.75,33.25,7286100,34.5
BH,2023-06-27,225.0,228.0,225.0,1275335,226.0
BJC,2023-06-27,35.25,35.5,34.75,1425377,35.0
BKI,2023-06-27,305.0,311.0,305.0,35013,309.0
BLA,2023-06-27,25.25,25.5,25.0,669904,25.5
BPP,2023-06-27,14.2,14.5,14.2,333052,14.2
BTS,2023-06-27,7.2,7.3,7.15,11120323,7.3
BTSGIF,2023-06-27,3.5,3.54,3.5,3287211,3.5
CBG,2023-06-27,61.75,63.0,61.5,3127027,61.5
CENTEL,2023-06-27,45.75,46.75,45.75,1597823,46.0
CHG,2023-06-27,2.94,3.0,2.92,34930205,2.94
CK,2023-06-27,18.1,18.3,18.0,524261,18.2
CKP,2023-06-27,3.36,3.38,3.28,5270343,3.3
COM7,2023-06-27,25.25,26.0,25.25,6094720,25.5
CPALL,2023-06-27,61.5,62.25,61.5,16863327,62.0
CPF,2023-06-27,19.5,19.9,19.5,18875851,19.8
CPN,2023-06-27,63.25,64.25,62.0,11751051,62.75
CPNCG,2023-06-27,10,10,9.9,281212,9.9
CPNREIT,2023-06-27,11.4,11.9,11.2,12987769,11.3
CPTGF,2023-06-27,6.65,6.7,6.6,53800,6.7
CRC,2023-06-27,37.75,38.5,37.5,8272980,38.25
DELTA,2023-06-27,97.0,98.25,95.75,4717871,97.0
DIF,2023-06-27,10.7,10.8,10.6,27576708,10.6
DOHOME,2023-06-27,12.2,12.5,12.1,4464440,12.2
DRT,2023-06-27,8.0,8.05,8.0,77003,8.05
EA,2023-06-27,52.75,54.5,52.5,11955298,52.5
EASTW,2023-06-27,4.1,4.14,4.02,730529,4.02
ECL,2023-06-27,1.53,1.58,1.52,2037290,1.53
EGCO,2023-06-27,130.5,132.5,130.0,1109544,131.0
EPG,2023-06-27,6.6,7.05,6.55,5189188,7.05
ESSO,2023-06-27,8.8,8.85,8.8,4079930,8.8
FORTH,2023-06-27,26.0,26.75,24.6,1955847,25.5
FTREIT,2023-06-27,10.6,10.7,10.5,792405,10.7
GFPT,2023-06-27,12.4,12.5,12.0,6154428,12.3
GLOBAL,2023-06-27,16.3,16.5,16.3,2531094,16.5
GPSC,2023-06-27,54.75,57.0,54.5,7165600,56.25
GULF,2023-06-27,43.25,44.25,43.25,15324193,43.75
GUNKUL,2023-06-27,3.0,3.08,2.98,41472877,3.06
GVREIT,2023-06-27,8.35,8.45,8.3,86207,8.3
HANA,2023-06-27,43.25,44.0,42.25,4823735,42.25
HFT,2023-06-27,4.62,4.64,4.58,107757,4.64
HMPRO,2023-06-27,13.9,14.0,13.8,19390970,13.9
HTC,2023-06-27,36.5,37.25,36.25,316384,36.25
ICHI,2023-06-27,12.9,13.2,12.7,15046827,13.2
III,2023-06-27,10.6,10.8,10.4,1573312,10.5
ILM,2023-06-27,20.9,21.3,20.3,442800,20.3
IMPACT,2023-06-27,12.4,12.7,12.4,1832802,12.7
INTUCH,2023-06-27,71.0,72.0,70.75,2138915,71.0
IRPC,2023-06-27,2.22,2.26,2.2,27670490,2.24
IVL,2023-06-27,32.5,33.75,32.25,15446932,33.75
JASIF,2023-06-27,7.1,7.15,7.05,4598383,7.05
JMART,2023-06-27,13.7,14.4,13.1,52328753,13.4
JMT,2023-06-27,34.75,35.5,33.5,18436231,33.5
KBANK,2023-06-27,129.0,130.0,128.5,6575105,129.5
KCE,2023-06-27,37.0,38.0,36.25,9332227,36.5
KEX,2023-06-27,10.2,10.5,10.1,1614454,10.2
KGI,2023-06-27,4.38,4.42,4.36,1002755,4.4
KKP,2023-06-27,59.75,60.25,59.5,1737056,59.75
KSL,2023-06-27,3.1,3.16,3.08,2090507,3.08
KTB,2023-06-27,19.3,19.6,19.3,14674495,19.6
KTC,2023-06-27,49.75,51.0,49.75,4494452,50.0
LALIN,2023-06-27,8.7,8.75,8.6,187147,8.65
LANNA,2023-06-27,15.0,15.2,15.0,783768,15.1
LH,2023-06-27,8.25,8.35,8.2,32830033,8.25
LPF,2023-06-27,12.7,12.8,12.6,1739015,12.7
LPH,2023-06-27,5.25,5.25,5.15,112100,5.15
LPN,2023-06-27,4.3,4.32,4.28,1472065,4.3
M,2023-06-27,47.0,48.25,47.0,1690242,48.25
MACO,2023-06-27,0.49,0.51,0.48,3594613,0.51
MAJOR,2023-06-27,15.4,15.8,15.4,1465675,15.6
MC,2023-06-27,12.4,12.7,12.2,3394750,12.5
MCS,2023-06-27,6.45,6.65,6.45,848822,6.6
MEGA,2023-06-27,36.25,37.25,36.0,2011348,37.0
MINT,2023-06-27,33.0,33.75,32.75,26472702,33.75
MST,2023-06-27,10.6,10.7,10.6,27400,10.6
MTC,2023-06-27,37.75,38.75,37.0,4030235,37.0
NER,2023-06-27,4.52,4.58,4.52,4970525,4.54
NOBLE,2023-06-27,4.18,4.26,4.14,689028,4.14
ONEE,2023-06-27,5.0,5.1,4.96,4367203,5.0
