period,name,shares,date1,date2,price1,price2,change,%change,amount,spd
1,JASIF,130000,2022-12-30,2023-07-14,8.05,6.95,-1.10,-13.66,-143000.0,-22
1,MCS,78000,2022-12-30,2023-07-14,8.95,6.35,-2.60,-29.05,-202800.0,-52
1,PTTGC,6000,2022-12-30,2023-07-14,47.25,40.50,-6.75,-14.29,-40500.0,-27
1,TMT,36000,2022-12-30,2023-07-14,7.80,7.30,-0.50,-6.41,-18000.0,-10
2,ASK,4500,2022-12-30,2023-07-14,35.50,25.25,-10.25,-28.87,-46125.0,-41
2,ASP,30000,2022-12-30,2023-07-14,2.98,2.78,-0.20,-6.71,-6000.0,-10
2,CPNREIT,60000,2022-12-30,2023-07-14,19.50,10.90,-8.60,-44.10,-516000.0,-86
2,DIF,30000,2022-12-30,2023-07-14,13.20,10.70,-2.50,-18.94,-75000.0,-25
2,GVREIT,30000,2022-12-30,2023-07-14,9.10,8.40,-0.70,-7.69,-21000.0,-14
2,NER,27000,2022-12-30,2023-07-14,6.35,4.56,-1.79,-28.19,-48330.0,-49
2,ORI,45000,2022-12-30,2023-07-14,12.10,10.40,-1.70,-14.05,-76500.0,-17
2,RCL,27000,2022-12-30,2023-07-14,30.75,24.20,-6.55,-21.30,-176850.0,-31
2,SENA,105000,2022-12-30,2023-07-14,3.94,3.00,-0.94,-23.86,-98700.0,-47
2,STA,5000,2022-12-30,2023-07-14,21.10,17.00,-4.10,-19.43,-20500.0,-41
2,TFFIF,10000,2022-12-30,2023-07-14,7.65,7.60,-0.05,-0.65,-500.0,-1
2,WHAIR,50000,2022-12-30,2023-07-14,7.45,7.05,-0.40,-5.37,-20000.0,-8
2,WHART,30000,2022-12-30,2023-07-14,10.70,10.70,0.00,0.00,0.0,0
3,BBL,400,2022-12-30,2023-07-14,148.00,158.00,10.00,6.76,4000.0,20
3,IVL,7200,2022-12-30,2023-07-14,40.75,35.25,-5.50,-13.50,-39600.0,-22
3,JMT,6000,2022-12-30,2023-07-14,69.00,35.50,-33.50,-48.55,-201000.0,-134
3,SCC,600,2022-12-30,2023-07-14,342.00,328.00,-14.00,-4.09,-8400.0,-14
4,AH,1200,2022-12-30,2023-07-14,29.75,34.00,4.25,14.29,5100.0,17
4,AWC,9000,2022-12-30,2023-07-14,6.30,4.62,-1.68,-26.67,-15120.0,-45
4,BCH,15000,2022-12-30,2023-07-14,20.50,17.50,-3.00,-14.63,-45000.0,-30
4,ICHI,1500,2022-12-30,2023-07-14,11.30,13.80,2.50,22.12,3750.0,25
4,JMART,10800,2022-12-30,2023-07-14,40.75,16.40,-24.35,-59.75,-262980.0,-149
4,KCE,10000,2022-12-30,2023-07-14,46.50,38.75,-7.75,-16.67,-77500.0,-31
4,PTG,3600,2022-12-30,2023-07-14,14.50,10.20,-4.30,-29.66,-15480.0,-43
4,SINGER,6000,2022-12-30,2023-07-14,28.75,9.10,-19.65,-68.35,-117900.0,-183
4,SYNEX,15000,2022-12-30,2023-07-14,16.40,11.80,-4.60,-28.05,-69000.0,-46
