name,shares,unit_cost,dividend,mkt_price,period,cost_amt,mkt_amt,div_amt,cost_pct,mkt_pct,pft_pct,div_rnk,amt_rnk
RCL,24000,39.8,7.0,31.5,2,955200.0,756000.0,168000.0,17.59,22.22,-20.85,1.0,2.0
JASIF,130000,10.0,0.94,8.2,2,1300000.0,1066000.0,122200.0,9.4,11.46,-18.0,2.0,1.0
WHAIR,40000,8.95,0.6744,7.5,2,358000.0,300000.0,26976.0,7.54,8.99,-16.2,3.0,8.0
GVREIT,20000,8.9,0.7786,9.0,2,178000.0,180000.0,15572.0,8.75,8.65,1.12,4.0,10.0
SENA,105000,4.48,0.3384,3.92,2,470400.0,411600.0,35532.0,7.55,8.63,-12.5,5.0,4.0
WHART,30000,11.7,0.8941,10.9,2,351000.0,327000.0,26823.0,7.64,8.2,-6.84,6.0,6.0
DIF,40000,14.7,1.041,13.5,2,588000.0,540000.0,41640.0,7.08,7.71,-8.16,7.0,3.0
BCH,15000,21.46,1.4,21.5,2,321900.0,322500.0,21000.0,6.52,6.51,0.19,8.0,7.0
SCCC,1200,171.0,9.0,158.5,2,205200.0,190200.0,10800.0,5.26,5.68,-7.31,9.0,9.0
DCC,60000,2.96,0.16,2.82,2,177600.0,169200.0,9600.0,5.41,5.67,-4.73,10.0,11.0
CPNREIT,20000,18.9,0.9059,19.5,2,378000.0,390000.0,18118.0,4.79,4.65,3.17,11.5,5.0
TFFIF,10000,7.5,0.3721,8.0,2,75000.0,80000.0,3721.0,4.96,4.65,6.67,11.5,12.0
