Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
ACE,SET100 / SETTHSI    ,2.56,3.42,2.52,17.72,1.82,5088.00,26050.56,54.22,0.89
ADVANC,SET50 / SETHD / SETTHSI    ,200.00,242.00,181.50,23.32,7.62,2974.21,594841.95,913.28,0.77
AEONTS,SET    ,191.50,209.00,152.00,11.87,2.20,250.00,47875.00,99.70,1.15
AH,sSET / SETTHSI    ,32.50,35.75,19.40,7.48,1.21,354.84,11532.37,71.69,1.51
AIE,sSET    ,2.84,5.10,2.56,21.31,1.84,1326.61,3767.58,7.44,1.17
AIMIRT,SET    ,12.30,13.00,11.70,999.99,1.00,5954.81,7324.41,2.70,0.08
AIT,sSET    ,6.65,8.35,5.40,15.20,2.44,1331.13,8851.98,40.48,1.46
AJ,sSET / SETCLMV / SETTHSI    ,13.00,19.60,11.70,13.60,1.21,440.00,5720.00,8.99,0.96
AMATA,SET100 / SETCLMV / SETTHSI    ,19.80,23.00,17.10,9.92,1.19,1150.00,22770.00,183.02,1.60
ANAN,sSET    ,1.43,1.60,1.11,999.99,0.41,416.63,5957.74,30.64,1.25
AOT,SET50 / SETTHSI    ,75.50,76.50,61.25,999.99,10.64,14285.70,1078570.35,1999.72,0.71
AP,SET100 / SETHD / SETTHSI    ,11.60,12.00,9.00,6.38,1.03,3145.90,36492.43,193.44,0.80
ASIAN,sSET / SETTHSI    ,13.70,19.40,12.90,10.93,2.61,814.09,11153.00,16.15,0.91
ASK,SET    ,33.00,49.50,28.25,12.06,1.77,2639.22,17418.83,49.55,1.73
ASP,sSET    ,3.10,3.98,2.92,13.34,1.39,2105.66,6527.53,7.27,0.69
ASW,sSET / SETTHSI    ,8.10,9.40,7.35,7.66,1.34,856.12,6934.58,8.15,0.48
AWC,SET50 / SETTHSI    ,6.10,6.55,4.56,57.16,2.40,32000.77,195204.70,323.74,1.12
BA,SET    ,14.20,14.80,8.40,999.99,1.77,2100.00,29820.00,63.50,1.28
BAM,SET100 / SETTHSI    ,16.20,22.30,14.50,18.40,1.22,16160.21,52359.09,420.78,1.36
BANPU,SET50 / SETCLMV / SETTHSI    ,12.30,15.00,10.50,2.35,0.93,8454.16,103986.19,1453.87,0.71
BAY,SET    ,32.25,37.75,28.75,7.99,0.71,73557.62,237223.32,23.08,0.63
BBL,SET50 / SETCLMV / SETHD / SETTHSI    ,162.50,163.00,124.50,11.06,0.61,19088.43,310186.97,2077.33,0.85
BCH,SET100 / SETCLMV / SETHD / SETWB    ,20.90,23.10,16.80,9.93,4.28,2493.75,52119.33,197.00,0.34
BCP,SET100 / SETCLMV / SETTHSI    ,37.25,39.00,27.25,3.68,0.81,1376.92,51290.39,531.99,0.68
BCPG,SET100 / SETCLMV / SETHD / SETTHSI    ,9.90,13.40,8.70,11.19,0.97,14538.70,28786.11,58.04,1.18
BCT,SET    ,59.50,68.50,47.50,3.22,0.64,300.00,17850.00,0.42,0.64
BDMS,SET50 / SETCLMV / SETTHSI / SETWB    ,30.25,32.00,22.10,39.64,5.59,1589.20,480733.06,1040.34,0.42
BE8,mai    ,64.00,66.75,29.00,123.89,10.87,120.32,13734.04,149.28,1.33
