name,fm_md,to_md,days,fm_price,to_price,pct,spd,avg,max_price,min_price,ttl_qty,trend
BCH,02-14,02-17,4,20.9,21.2,1.44,3,0,21.4,20.4,33631824,Upward
JMT,02-16,02-17,2,45.5,45.75,0.55,1,0,46.5,42.0,65889726,Upward
DIF,02-16,02-17,2,13.3,13.3,0.0,0,0,13.3,13.2,6762497,Upward
NER,02-16,02-17,2,5.85,5.85,0.0,0,0,5.9,5.75,15093558,Upward
ORI,02-17,02-17,1,11.8,11.8,0.0,0,0,11.8,11.5,6235604,Upward
SCC,02-16,02-17,2,340.0,340.0,0.0,0,0,340.0,337.0,2181706,Upward
STA,02-17,02-17,1,23.8,23.8,0.0,0,0,24.0,23.6,4090408,Upward
TCAP,02-17,02-17,1,42.75,42.75,0.0,0,0,42.75,42.25,1904030,Upward
TMT,02-17,02-17,1,8.0,8.0,0.0,0,0,8.0,7.85,48014,Upward
WHAIR,02-16,02-17,2,7.85,7.85,0.0,0,0,7.9,7.7,337446,Upward
ASK,02-17,02-17,1,30.25,30.25,0.0,0,0,31.0,29.25,3652773,Downward
BANPU,02-17,02-17,1,10.9,10.9,0.0,0,0,11.1,10.9,59387401,Downward
CPNREIT,02-17,02-17,1,18.3,18.3,0.0,0,0,18.5,18.2,3194164,Downward
GVREIT,02-17,02-17,1,9.7,9.7,0.0,0,0,9.8,9.65,323715,Downward
JMART,02-17,02-17,1,27.25,27.25,0.0,0,0,29.0,25.75,64672279,Downward
MC,02-17,02-17,1,11.9,11.9,0.0,0,0,12.0,11.8,1145543,Downward
MCS,02-14,02-17,4,9.85,9.85,0.0,0,0,9.95,9.7,4258651,Downward
RCL,02-17,02-17,1,29.25,29.25,0.0,0,0,29.5,29.0,1185810,Downward
SENA,02-13,02-17,5,3.94,3.94,0.0,0,0,3.96,3.9,2673089,Downward
SYNEX,02-17,02-17,1,16.1,16.1,0.0,0,0,16.5,15.9,2500399,Downward
WHART,02-17,02-17,1,11.4,11.4,0.0,0,0,11.5,11.3,315440,Downward
JASIF,02-10,02-17,6,8.2,8.15,-0.61,-1,-1,8.25,8.1,32237608,Downward
PTTGC,02-15,02-17,3,49.5,48.75,-1.52,-3,-1,50.5,48.25,43536945,Downward
KCE,02-14,02-17,4,47.0,46.0,-2.13,-4,-1,48.75,45.25,68009070,Downward
ASP,02-07,02-17,9,3.12,3.04,-2.56,-4,-1,3.16,3.0,20468931,Downward
TFFIF,02-06,02-17,10,8.2,7.95,-3.05,-5,-1,8.25,7.9,26780409,Downward
IVL,02-15,02-17,3,40.0,38.75,-3.13,-5,-2,40.5,38.5,40828382,Downward
SAT,02-07,02-17,9,21.5,20.4,-5.12,-11,-2,21.7,20.3,7375511,Downward
SINGER,02-10,02-17,6,26.75,17.3,-35.33,-84,-14,27.5,16.7,291031300,Downward
