name,from_date,to_date,days,from_price,to_price,diff,pct,spd,avg,max_price,min_price,ttl_qty,trend,nbr
AH,2023-05-29,2023-05-29,1,34.75,34.75,0.0,0.0,0,0,35.25,34.25,1301080,,2
AH,2023-05-30,2023-05-31,2,37.5,37.75,0.25,0.67,1,0,38.25,35.0,10661114,Upward,4
AH,2023-06-01,2023-06-01,1,37.0,37.0,0.0,0.0,0,0,37.75,36.5,2882866,Downward,5
AH,2023-06-02,2023-06-07,4,37.25,39.25,2.0,5.37,8,2,39.25,36.25,8078969,Upward,8
AH,2023-06-08,2023-06-09,2,36.5,34.5,-2.0,-5.48,-8,-4,37.75,27.75,103830264,Downward,10
AH,2023-06-12,2023-06-12,1,35.25,35.25,0.0,0.0,0,0,36.25,34.75,7101473,Upward,11
AH,2023-06-13,2023-06-14,2,35.0,34.5,-0.5,-1.43,-2,-1,35.75,33.75,5935722,Downward,13
AH,2023-06-15,2023-06-15,1,34.75,34.75,0.0,0.0,0,0,35.25,34.5,1501200,Upward,14
AH,2023-06-16,2023-06-21,4,34.5,32.75,-1.75,-5.07,-7,-2,35.0,32.25,8367251,Downward,18
AH,2023-06-22,2023-06-22,1,33.25,33.25,0.0,0.0,0,0,33.75,32.25,2011971,Upward,19
AH,2023-06-23,2023-06-26,2,32.25,30.5,-1.75,-5.43,-7,-4,33.0,30.5,6611429,Downward,21
AH,2023-06-27,2023-06-27,1,32.25,32.25,0.0,0.0,0,0,32.5,30.75,3038977,Upward,22
ASK,2023-05-29,2023-06-06,7,27.75,28.5,0.75,2.7,3,0,28.75,27.5,2820880,Upward,28
ASK,2023-06-07,2023-06-07,1,28.0,28.0,0.0,0.0,0,0,28.25,28.0,192757,Downward,29
ASK,2023-06-08,2023-06-09,2,28.25,28.25,0.0,0.0,0,0,28.5,28.0,705643,Upward,31
ASK,2023-06-12,2023-06-12,1,27.5,27.5,0.0,0.0,0,0,28.5,27.5,1288006,Downward,32
ASK,2023-06-13,2023-06-13,1,28.0,28.0,0.0,0.0,0,0,28.0,27.5,350170,Upward,33
ASK,2023-06-14,2023-06-15,2,27.5,26.25,-1.25,-4.55,-5,-3,28.0,26.25,3561959,Downward,35
ASK,2023-06-16,2023-06-19,2,26.5,26.5,0.0,0.0,0,0,27.0,26.25,707624,Upward,37
ASK,2023-06-20,2023-06-26,5,26.25,24.5,-1.75,-6.67,-10,-2,26.75,24.4,3195664,Downward,42
ASK,2023-06-27,2023-06-27,1,24.6,24.6,0.0,0.0,0,0,25.0,24.6,571366,Upward,43
ASP,2023-05-29,2023-05-31,3,2.86,2.88,0.02,0.7,1,0,2.88,2.84,1574874,Upward,46
ASP,2023-06-01,2023-06-06,4,2.86,2.84,-0.02,-0.7,-1,-1,2.88,2.84,1671189,Downward,49
ASP,2023-06-07,2023-06-09,3,2.86,2.88,0.02,0.7,1,0,2.88,2.84,1555630,Upward,52
ASP,2023-06-12,2023-06-13,2,2.84,2.84,0.0,0.0,0,0,2.88,2.84,2478501,Downward,54
ASP,2023-06-14,2023-06-14,1,2.88,2.88,0.0,0.0,0,0,2.88,2.84,793106,Upward,55
ASP,2023-06-15,2023-06-19,3,2.84,2.84,0.0,0.0,0,0,2.88,2.82,2271266,Downward,58
ASP,2023-06-20,2023-06-20,1,2.86,2.86,0.0,0.0,0,0,2.86,2.82,774815,Upward,59
ASP,2023-06-21,2023-06-26,4,2.84,2.76,-0.08,-2.82,-4,-1,2.84,2.76,4631554,Downward,63
ASP,2023-06-27,2023-06-27,1,2.78,2.78,0.0,0.0,0,0,2.8,2.76,583555,Upward,64
AWC,2023-05-29,2023-05-29,1,5.1,5.1,0.0,0.0,0,0,5.15,5.05,10844792,Upward,65
AWC,2023-05-30,2023-06-01,3,4.92,4.82,-0.1,-2.03,-5,-2,5.1,4.78,233485093,Downward,68
AWC,2023-06-02,2023-06-02,1,4.88,4.88,0.0,0.0,0,0,4.88,4.82,29699549,Upward,69
AWC,2023-06-06,2023-06-06,1,4.84,4.84,0.0,0.0,0,0,4.92,4.8,30759888,Downward,70
AWC,2023-06-07,2023-06-08,2,4.94,5.05,0.11,2.23,4,2,5.05,4.82,68313762,Upward,72
AWC,2023-06-09,2023-06-09,1,5.0,5.0,0.0,0.0,0,0,5.1,5.0,15460325,Downward,73
AWC,2023-06-12,2023-06-14,3,5.1,5.3,0.2,3.92,4,1,5.4,5.0,121222739,Upward,76
AWC,2023-06-15,2023-06-16,2,4.96,4.88,-0.08,-1.61,-4,-2,5.3,4.84,209561838,Downward,78
AWC,2023-06-19,2023-06-20,2,4.9,5.05,0.15,3.06,6,3,5.05,4.82,76824656,Upward,80
AWC,2023-06-21,2023-06-27,5,4.9,4.76,-0.14,-2.86,-7,-2,5.05,4.74,142488515,Downward,85
BANPU,2023-05-29,2023-05-30,2,8.2,8.2,0.0,0.0,0,0,8.35,8.05,131006132,Downward,87
BANPU,2023-05-31,2023-05-31,1,8.25,8.25,0.0,0.0,0,0,8.25,8.05,102609760,Upward,88
BANPU,2023-06-01,2023-06-01,1,8.2,8.2,0.0,0.0,0,0,8.25,8.1,48276124,Downward,89
BANPU,2023-06-02,2023-06-12,7,8.3,8.75,0.45,5.42,9,1,8.8,8.2,549071452,Upward,95
BANPU,2023-06-13,2023-06-13,1,8.7,8.7,0.0,0.0,0,0,8.75,8.65,48729162,Downward,96
BANPU,2023-06-14,2023-06-14,1,8.9,8.9,0.0,0.0,0,0,8.95,8.75,95846031,Upward,97
BANPU,2023-06-15,2023-06-15,1,8.8,8.8,0.0,0.0,0,0,8.95,8.75,57655582,Downward,98
BANPU,2023-06-16,2023-06-16,1,9.05,9.05,0.0,0.0,0,0,9.15,8.95,150592658,Upward,99
BANPU,2023-06-19,2023-06-19,1,9.0,9.0,0.0,0.0,0,0,9.05,8.95,60685294,Downward,100
BANPU,2023-06-20,2023-06-20,1,9.1,9.1,0.0,0.0,0,0,9.25,9.05,108223742,Upward,101
BANPU,2023-06-21,2023-06-21,1,9.05,9.05,0.0,0.0,0,0,9.1,9.0,56001954,Downward,102
BANPU,2023-06-22,2023-06-23,2,9.1,9.15,0.05,0.55,1,0,9.15,9.0,109755280,Upward,104
BANPU,2023-06-26,2023-06-27,2,9.0,8.9,-0.1,-1.11,-2,-1,9.2,8.9,117081848,Downward,106
BCH,2023-05-29,2023-05-29,1,18.6,18.6,0.0,0.0,0,0,18.7,17.9,28874493,Downward,107
BCH,2023-05-30,2023-05-30,1,18.9,18.9,0.0,0.0,0,0,19.1,18.6,28132175,Upward,108
BCH,2023-05-31,2023-06-02,3,18.5,18.3,-0.2,-1.08,-2,-1,18.9,18.1,46451170,Downward,111
BCH,2023-06-06,2023-06-08,3,18.4,18.4,0.0,0.0,0,0,18.7,18.1,35910721,Upward,114
BCH,2023-06-09,2023-06-09,1,18.3,18.3,0.0,0.0,0,0,18.6,18.3,14152226,Downward,115
BCH,2023-06-12,2023-06-13,2,18.4,18.4,0.0,0.0,0,0,18.6,18.1,24433032,Upward,117
BCH,2023-06-14,2023-06-16,3,18.3,18.0,-0.3,-1.64,-3,-1,18.5,17.7,45239993,Downward,120
BCH,2023-06-19,2023-06-20,2,18.1,18.2,0.1,0.55,1,0,18.3,17.8,12232759,Upward,122
BCH,2023-06-21,2023-06-21,1,17.6,17.6,0.0,0.0,0,0,18.1,17.4,16990840,Downward,123
BCH,2023-06-22,2023-06-22,1,17.7,17.7,0.0,0.0,0,0,17.8,17.5,7345122,Upward,124
BCH,2023-06-23,2023-06-27,3,17.6,17.0,-0.6,-3.41,-6,-2,17.7,17.0,28191905,Downward,127
BEM,2023-05-29,2023-06-02,5,8.15,8.05,-0.1,-1.23,-2,-1,8.2,7.95,161532373,Downward,132
BEM,2023-06-06,2023-06-08,3,8.1,8.4,0.3,3.7,6,2,8.45,8.0,98926059,Upward,135
BEM,2023-06-09,2023-06-12,2,8.35,8.35,0.0,0.0,0,0,8.4,8.3,25683087,Downward,137
BEM,2023-06-13,2023-06-13,1,8.55,8.55,0.0,0.0,0,0,8.55,8.4,18037994,Upward,138
BEM,2023-06-14,2023-06-19,4,8.4,8.3,-0.1,-1.19,-2,-1,8.55,8.25,71368189,Downward,142
BEM,2023-06-20,2023-06-20,1,8.45,8.45,0.0,0.0,0,0,8.55,8.35,30055409,Upward,143
BEM,2023-06-21,2023-06-27,5,8.4,8.2,-0.2,-2.38,-4,-1,8.5,8.1,131567851,Downward,148
CPNREIT,2023-05-29,2023-06-02,5,12.9,12.8,-0.1,-0.78,-1,-1,12.9,12.7,3062027,Downward,153
CPNREIT,2023-06-06,2023-06-07,2,12.9,12.9,0.0,0.0,0,0,13.0,12.6,3678090,Upward,155
CPNREIT,2023-06-08,2023-06-08,1,12.8,12.8,0.0,0.0,0,0,12.9,12.8,795603,Downward,156
CPNREIT,2023-06-09,2023-06-09,1,13.0,13.0,0.0,0.0,0,0,13.0,12.7,2498945,Upward,157
CPNREIT,2023-06-12,2023-06-21,8,12.9,10.1,-2.8,-21.71,-28,-4,13.0,10.1,46450088,Downward,165
CPNREIT,2023-06-22,2023-06-23,2,10.4,11.0,0.6,5.77,6,3,11.0,10.2,10290298,Upward,167
CPNREIT,2023-06-26,2023-06-26,1,10.7,10.7,0.0,0.0,0,0,11.0,10.7,5994644,Downward,168
CPNREIT,2023-06-27,2023-06-27,1,11.4,11.4,0.0,0.0,0,0,11.9,11.2,12987769,Upward,169
DIF,2023-05-29,2023-05-29,1,12.4,12.4,0.0,0.0,0,0,12.4,12.3,1996943,Upward,170
DIF,2023-05-30,2023-06-02,4,12.3,12.3,0.0,0.0,0,0,12.4,12.3,15007176,Downward,174
DIF,2023-06-06,2023-06-08,3,12.4,12.4,0.0,0.0,0,0,12.4,12.2,41584965,Upward,177
DIF,2023-06-09,2023-06-26,12,12.3,10.6,-1.7,-13.82,-17,-2,12.4,10.0,439470965,Downward,189
DIF,2023-06-27,2023-06-27,1,10.7,10.7,0.0,0.0,0,0,10.8,10.6,27576708,Upward,190
EA,2023-05-29,2023-05-29,1,65.5,65.5,0.0,0.0,0,0,66.0,65.25,3201712,Upward,191
EA,2023-05-30,2023-05-30,1,63.75,63.75,0.0,0.0,0,0,66.25,63.75,12231933,Downward,192
EA,2023-05-31,2023-05-31,1,65.0,65.0,0.0,0.0,0,0,65.0,63.0,14100350,Upward,193
EA,2023-06-01,2023-06-01,1,60.75,60.75,0.0,0.0,0,0,64.5,60.75,18252304,Downward,194
EA,2023-06-02,2023-06-02,1,61.25,61.25,0.0,0.0,0,0,62.0,60.75,9654407,Upward,195
EA,2023-06-06,2023-06-06,1,60.5,60.5,0.0,0.0,0,0,62.0,60.0,7711166,Downward,196
EA,2023-06-07,2023-06-08,2,63.0,65.0,2.0,3.17,8,4,65.5,60.5,32947142,Upward,198
EA,2023-06-09,2023-06-15,5,64.0,61.75,-2.25,-3.52,-9,-2,65.0,61.75,37981341,Downward,203
EA,2023-06-16,2023-06-16,1,62.0,62.0,0.0,0.0,0,0,63.0,61.5,7441785,Upward,204
EA,2023-06-19,2023-06-19,1,61.25,61.25,0.0,0.0,0,0,62.0,61.0,4539628,Downward,205
EA,2023-06-20,2023-06-20,1,61.75,61.75,0.0,0.0,0,0,62.75,61.75,7163732,Upward,206
EA,2023-06-21,2023-06-22,2,57.75,57.0,-0.75,-1.3,-3,-2,61.75,56.25,37857194,Downward,208
EA,2023-06-23,2023-06-23,1,58.0,58.0,0.0,0.0,0,0,58.5,56.75,7510582,Upward,209
EA,2023-06-26,2023-06-26,1,52.5,52.5,0.0,0.0,0,0,57.75,52.5,27191838,Downward,210
EA,2023-06-27,2023-06-27,1,52.75,52.75,0.0,0.0,0,0,54.5,52.5,11955298,Upward,211
GVREIT,2023-05-29,2023-05-30,2,9.1,9.1,0.0,0.0,0,0,9.15,9.05,655400,Upward,213
GVREIT,2023-05-31,2023-06-06,5,9.05,9.0,-0.05,-0.55,-1,-1,9.15,9.0,1324001,Downward,217
GVREIT,2023-06-07,2023-06-07,1,9.05,9.05,0.0,0.0,0,0,9.05,9.0,464600,Upward,218
GVREIT,2023-06-08,2023-06-08,1,9.0,9.0,0.0,0.0,0,0,9.1,9.0,270500,Downward,219
GVREIT,2023-06-09,2023-06-09,1,9.05,9.05,0.0,0.0,0,0,9.1,9.0,251000,Upward,220
GVREIT,2023-06-12,2023-06-12,1,9.0,9.0,0.0,0.0,0,0,9.05,9.0,545500,Downward,221
GVREIT,2023-06-13,2023-06-13,1,9.05,9.05,0.0,0.0,0,0,9.05,9.0,28700,Upward,222
GVREIT,2023-06-14,2023-06-26,9,8.9,8.3,-0.6,-6.74,-12,-2,9.05,8.3,3714961,Downward,231
GVREIT,2023-06-27,2023-06-27,1,8.35,8.35,0.0,0.0,0,0,8.45,8.3,86207,Upward,232
ICHI,2023-05-29,2023-05-29,1,14.6,14.6,0.0,0.0,0,0,14.8,14.4,9951857,Upward,233
ICHI,2023-05-30,2023-05-30,1,14.4,14.4,0.0,0.0,0,0,14.7,14.3,9294424,Downward,234
ICHI,2023-05-31,2023-06-01,2,14.5,14.7,0.2,1.38,2,1,14.8,14.3,15770816,Upward,236
ICHI,2023-06-02,2023-06-02,1,14.4,14.4,0.0,0.0,0,0,14.7,14.4,5019522,Downward,237
ICHI,2023-06-06,2023-06-07,2,15.0,15.2,0.2,1.33,2,1,15.3,14.4,34468963,Upward,239
ICHI,2023-06-08,2023-06-08,1,15.0,15.0,0.0,0.0,0,0,15.2,14.7,12344947,Downward,240
ICHI,2023-06-09,2023-06-12,2,15.2,15.2,0.0,0.0,0,0,15.4,15.0,20189064,Upward,242
ICHI,2023-06-13,2023-06-13,1,15.0,15.0,0.0,0.0,0,0,15.4,14.9,11995449,Downward,243
ICHI,2023-06-14,2023-06-14,1,15.3,15.3,0.0,0.0,0,0,15.3,15.0,6709864,Upward,244
ICHI,2023-06-15,2023-06-27,9,15.0,12.9,-2.1,-14.0,-21,-3,15.4,12.7,92708282,Downward,253
IVL,2023-05-29,2023-05-29,1,32.25,32.25,0.0,0.0,0,0,32.75,32.25,2988973,Downward,254
IVL,2023-05-30,2023-05-30,1,32.5,32.5,0.0,0.0,0,0,32.5,31.75,9710381,Upward,255
IVL,2023-05-31,2023-05-31,1,31.75,31.75,0.0,0.0,0,0,32.5,31.0,31178445,Downward,256
IVL,2023-06-01,2023-06-02,2,32.0,32.75,0.75,2.34,3,1,33.0,31.5,25802995,Upward,258
IVL,2023-06-06,2023-06-07,2,32.5,32.5,0.0,0.0,0,0,33.0,32.0,25405243,Downward,260
IVL,2023-06-08,2023-06-14,5,33.25,35.0,1.75,5.26,7,1,35.5,32.0,96558242,Upward,265
IVL,2023-06-15,2023-06-19,3,34.5,34.5,0.0,0.0,0,0,35.25,34.0,39531567,Downward,268
IVL,2023-06-20,2023-06-20,1,35.25,35.25,0.0,0.0,0,0,35.75,34.5,20809035,Upward,269
IVL,2023-06-21,2023-06-27,5,34.5,32.5,-2.0,-5.8,-8,-2,35.0,32.25,61943644,Downward,274
JASIF,2023-05-29,2023-05-31,3,6.95,6.95,0.0,0.0,0,0,7.0,6.9,11701670,Downward,277
JASIF,2023-06-01,2023-06-01,1,7.0,7.0,0.0,0.0,0,0,7.0,6.95,7091670,Upward,278
JASIF,2023-06-02,2023-06-07,4,6.95,6.95,0.0,0.0,0,0,7.0,6.95,9539507,Downward,281
JASIF,2023-06-08,2023-06-09,2,7.0,7.0,0.0,0.0,0,0,7.0,6.95,6397882,Upward,283
JASIF,2023-06-12,2023-06-12,1,6.95,6.95,0.0,0.0,0,0,7.0,6.95,2209493,Downward,284
JASIF,2023-06-13,2023-06-16,4,7.0,7.4,0.4,5.71,8,2,7.45,6.95,46057345,Upward,288
JASIF,2023-06-19,2023-06-26,6,7.25,7.0,-0.25,-3.45,-5,-1,7.45,7.0,50327385,Downward,294
JASIF,2023-06-27,2023-06-27,1,7.1,7.1,0.0,0.0,0,0,7.15,7.05,4598383,Upward,295
JMART,2023-05-29,2023-05-31,3,19.3,20.4,1.1,5.7,11,3,20.5,19.0,66871020,Upward,298
JMART,2023-06-01,2023-06-07,5,20.1,19.2,-0.9,-4.48,-9,-2,20.5,18.9,56896458,Downward,302
JMART,2023-06-08,2023-06-14,5,19.3,20.1,0.8,4.15,8,1,20.5,18.9,82009899,Upward,307
JMART,2023-06-15,2023-06-26,8,19.3,13.1,-6.2,-32.12,-62,-8,20.1,13.1,278973982,Downward,315
JMART,2023-06-27,2023-06-27,1,13.7,13.7,0.0,0.0,0,0,14.4,13.1,52328753,Upward,316
JMT,2023-05-29,2023-05-29,1,40.75,40.75,0.0,0.0,0,0,41.75,40.25,5354030,Upward,317
JMT,2023-05-30,2023-05-30,1,39.75,39.75,0.0,0.0,0,0,40.75,39.5,11998586,Downward,318
JMT,2023-05-31,2023-05-31,1,43.0,43.0,0.0,0.0,0,0,44.0,39.25,69063646,Upward,319
JMT,2023-06-01,2023-06-06,4,42.5,39.25,-3.25,-7.65,-13,-4,43.25,39.25,54350987,Downward,322
JMT,2023-06-07,2023-06-14,6,39.5,43.25,3.75,9.49,15,2,44.25,38.5,88354608,Upward,328
JMT,2023-06-15,2023-06-19,3,41.75,39.75,-2.0,-4.79,-8,-3,43.75,39.5,34692922,Downward,331
JMT,2023-06-20,2023-06-20,1,40.0,40.0,0.0,0.0,0,0,40.25,39.25,10314394,Upward,332
JMT,2023-06-21,2023-06-26,4,38.75,33.5,-5.25,-13.55,-21,-6,41.0,33.5,78721052,Downward,336
JMT,2023-06-27,2023-06-27,1,34.75,34.75,0.0,0.0,0,0,35.5,33.5,18436231,Upward,337
KCE,2023-05-29,2023-05-30,2,38.5,39.25,0.75,1.95,3,1,39.5,38.25,13326770,Upward,339
KCE,2023-05-31,2023-06-06,5,39.0,37.75,-1.25,-3.21,-5,-1,39.5,37.75,27432899,Downward,343
KCE,2023-06-07,2023-06-08,2,38.75,39.5,0.75,1.94,3,1,39.75,37.75,10759995,Upward,345
KCE,2023-06-09,2023-06-12,2,39.25,39.25,0.0,0.0,0,0,39.75,39.0,6424036,Downward,347
KCE,2023-06-13,2023-06-13,1,41.0,41.0,0.0,0.0,0,0,41.5,39.75,16314467,Upward,348
KCE,2023-06-14,2023-06-16,3,40.5,40.25,-0.25,-0.62,-1,-1,41.5,39.75,22176609,Downward,351
KCE,2023-06-19,2023-06-19,1,41.5,41.5,0.0,0.0,0,0,41.5,40.0,9009314,Upward,352
KCE,2023-06-20,2023-06-22,3,41.0,37.75,-3.25,-7.93,-13,-5,41.75,37.5,26803081,Downward,355
KCE,2023-06-23,2023-06-23,1,38.25,38.25,0.0,0.0,0,0,39.0,38.0,8726016,Upward,356
KCE,2023-06-26,2023-06-26,1,36.5,36.5,0.0,0.0,0,0,38.25,36.25,11739070,Downward,357
KCE,2023-06-27,2023-06-27,1,37.0,37.0,0.0,0.0,0,0,38.0,36.25,9332227,Upward,358
KTC,2023-05-29,2023-05-30,2,52.75,52.75,0.0,0.0,0,0,53.5,52.5,10954687,Upward,360
KTC,2023-05-31,2023-06-01,2,51.0,50.25,-0.75,-1.47,-3,-2,52.75,50.25,27505801,Downward,362
KTC,2023-06-02,2023-06-02,1,51.0,51.0,0.0,0.0,0,0,51.25,49.75,8014448,Upward,363
KTC,2023-06-06,2023-06-06,1,50.75,50.75,0.0,0.0,0,0,51.75,50.25,6263735,Downward,364
KTC,2023-06-07,2023-06-09,3,51.0,53.0,2.0,3.92,8,2,53.0,50.0,15022617,Upward,367
KTC,2023-06-12,2023-06-12,1,51.5,51.5,0.0,0.0,0,0,52.75,51.5,3219169,Downward,368
KTC,2023-06-13,2023-06-13,1,52.25,52.25,0.0,0.0,0,0,52.5,51.5,2038613,Upward,369
KTC,2023-06-14,2023-06-15,2,51.5,49.5,-2.0,-3.88,-8,-4,52.5,49.5,13335769,Downward,371
KTC,2023-06-16,2023-06-16,1,50.25,50.25,0.0,0.0,0,0,50.5,49.25,5252490,Upward,372
KTC,2023-06-19,2023-06-19,1,49.5,49.5,0.0,0.0,0,0,50.0,49.25,2523417,Downward,373
KTC,2023-06-20,2023-06-23,4,50.25,50.5,0.25,0.5,1,0,51.25,49.5,15842414,Upward,377
KTC,2023-06-26,2023-06-27,2,49.75,49.75,0.0,0.0,0,0,51.0,49.5,7346719,Downward,379
MCS,2023-05-29,2023-05-31,3,7.15,7.1,-0.05,-0.7,-1,-1,7.35,7.0,1146792,Downward,382
MCS,2023-06-01,2023-06-02,2,7.15,7.15,0.0,0.0,0,0,7.2,7.1,597280,Upward,384
MCS,2023-06-06,2023-06-06,1,7.1,7.1,0.0,0.0,0,0,7.1,7.05,502457,Downward,385
MCS,2023-06-07,2023-06-07,1,7.15,7.15,0.0,0.0,0,0,7.15,7.1,239629,Upward,386
MCS,2023-06-08,2023-06-12,3,7.0,7.0,0.0,0.0,0,0,7.15,6.95,2650474,Downward,389
MCS,2023-06-13,2023-06-13,1,7.15,7.15,0.0,0.0,0,0,7.15,7.05,390005,Upward,390
MCS,2023-06-14,2023-06-27,10,7.1,6.45,-0.65,-9.15,-13,-2,7.15,6.45,5713014,Downward,400
NER,2023-05-29,2023-06-01,4,4.66,4.44,-0.22,-4.72,-11,-3,4.74,4.44,43867772,Downward,404
NER,2023-06-02,2023-06-02,1,4.46,4.46,0.0,0.0,0,0,4.5,4.42,4228005,Upward,405
NER,2023-06-06,2023-06-06,1,4.44,4.44,0.0,0.0,0,0,4.5,4.44,5118424,Downward,406
NER,2023-06-07,2023-06-14,6,4.48,4.82,0.34,7.59,17,2,4.84,4.44,40555134,Upward,412
NER,2023-06-15,2023-06-15,1,4.74,4.74,0.0,0.0,0,0,4.84,4.74,7258218,Downward,413
NER,2023-06-16,2023-06-16,1,4.78,4.78,0.0,0.0,0,0,4.8,4.74,3595070,Upward,414
NER,2023-06-19,2023-06-21,3,4.76,4.68,-0.08,-1.68,-4,-2,4.78,4.68,7607117,Downward,417
NER,2023-06-22,2023-06-22,1,4.7,4.7,0.0,0.0,0,0,4.76,4.68,3244398,Upward,418
NER,2023-06-23,2023-06-27,3,4.66,4.52,-0.14,-3.0,-7,-3,4.68,4.52,14399161,Downward,421
ORI,2023-05-29,2023-05-31,3,11.1,10.8,-0.3,-2.7,-3,-1,11.1,10.6,26847650,Downward,424
ORI,2023-06-01,2023-06-01,1,11.0,11.0,0.0,0.0,0,0,11.1,10.7,7270500,Upward,425
ORI,2023-06-02,2023-06-06,3,10.9,10.8,-0.1,-0.92,-1,-1,11.0,10.8,3865454,Downward,427
ORI,2023-06-07,2023-06-08,2,10.9,11.2,0.3,2.75,3,1,11.2,10.8,9256031,Upward,429
ORI,2023-06-09,2023-06-12,2,11.1,11.1,0.0,0.0,0,0,11.2,11.0,5693176,Downward,431
ORI,2023-06-13,2023-06-13,1,11.3,11.3,0.0,0.0,0,0,11.4,11.1,3728737,Upward,432
ORI,2023-06-14,2023-06-19,4,11.2,11.0,-0.2,-1.79,-2,-1,11.5,11.0,8026011,Downward,436
ORI,2023-06-20,2023-06-20,1,11.1,11.1,0.0,0.0,0,0,11.2,10.9,2159132,Upward,437
ORI,2023-06-21,2023-06-27,5,10.8,10.0,-0.8,-7.41,-8,-2,11.1,10.1,42243717,Downward,442
PTTGC,2023-05-29,2023-06-01,4,36.25,34.75,-1.5,-4.14,-6,-2,36.5,34.75,54606853,Downward,446
PTTGC,2023-06-02,2023-06-02,1,35.75,35.75,0.0,0.0,0,0,36.25,35.25,15656993,Upward,447
PTTGC,2023-06-06,2023-06-06,1,35.5,35.5,0.0,0.0,0,0,36.5,35.5,11809498,Downward,448
PTTGC,2023-06-07,2023-06-09,3,36.5,38.5,2.0,5.48,8,2,38.5,35.5,68192314,Upward,451
PTTGC,2023-06-12,2023-06-12,1,38.25,38.25,0.0,0.0,0,0,38.25,37.5,12387581,Downward,452
PTTGC,2023-06-13,2023-06-14,2,38.5,39.25,0.75,1.95,3,1,39.5,37.5,39186877,Upward,454
PTTGC,2023-06-15,2023-06-16,2,38.75,38.0,-0.75,-1.94,-3,-2,39.0,37.5,36387767,Downward,456
PTTGC,2023-06-19,2023-06-20,2,38.5,38.75,0.25,0.65,1,0,39.0,37.5,24449802,Upward,458
PTTGC,2023-06-21,2023-06-27,5,37.75,36.25,-1.5,-3.97,-6,-2,38.5,36.0,45198315,Downward,463
RCL,2023-05-29,2023-06-01,4,24.4,23.3,-1.1,-4.51,-11,-3,24.6,23.3,7250484,Downward,467
RCL,2023-06-02,2023-06-14,9,23.7,25.0,1.3,5.49,13,1,25.25,23.3,31347151,Upward,475
RCL,2023-06-15,2023-06-15,1,24.6,24.6,0.0,0.0,0,0,25.0,24.6,3201174,Downward,476
RCL,2023-06-16,2023-06-16,1,24.7,24.7,0.0,0.0,0,0,24.9,24.6,1933877,Upward,477
RCL,2023-06-19,2023-06-22,4,24.6,24.0,-0.6,-2.44,-6,-2,24.9,23.9,8644297,Downward,481
RCL,2023-06-23,2023-06-23,1,24.4,24.4,0.0,0.0,0,0,24.6,23.9,2936984,Upward,482
RCL,2023-06-26,2023-06-26,1,23.5,23.5,0.0,0.0,0,0,24.5,23.5,4270398,Downward,483
RCL,2023-06-27,2023-06-27,1,23.7,23.7,0.0,0.0,0,0,24.0,23.5,1918554,Upward,484
SCC,2023-05-29,2023-05-29,1,332.0,332.0,0.0,0.0,0,0,332.0,330.0,1201976,Upward,485
