name,sell_amt,buy_amt,grs_profit,net_profit
SYNEX,49500.0,51000.0,-1500.0,-1722.6
DOHOME,35040.0,48600.0,-13560.0,-13745.25
SINGER,108000.0,100800.0,7200.0,6737.52
DOHOME,34080.0,48600.0,-14520.0,-14703.13
DOHOME,32880.0,48600.0,-15720.0,-15900.46
SYNEX,48300.0,73500.0,-25200.0,-25469.78
BCH,55200.0,61500.0,-6300.0,-6558.48
BANPU,108750.0,105000.0,3750.0,3276.57
BCH,57000.0,55500.0,1500.0,1250.82
SPALI,127200.0,132000.0,-4800.0,-5374.1
DOHOME,46560.0,48600.0,-2040.0,-2250.77
SPALI,66300.0,66000.0,300.0,6.97
DOHOME,53760.0,51120.0,2640.0,2407.7
SINGER,79125.0,63375.0,15750.0,15434.37
SINGER,76125.0,63375.0,12750.0,12441.02
DOHOME,108000.0,97200.0,10800.0,10345.51
SINGER,72750.0,63375.0,9375.0,9073.5
MEGA,259500.0,258000.0,1500.0,353.79
CKP,102000.0,100000.0,2000.0,1552.59
CKP,55000.0,50000.0,5000.0,4767.43
SYNEX,49500.0,47250.0,2250.0,2035.7
